# Sensor Paseo Metropolitano, Recoleta, Chile (Citizen Science project sensor.community/71468)
# https://aqicn.org/station/@252337/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2022-03-26T00:00:00.000Z,9.07,17.8,12.29,11.4,13.23,1.527,54
2022-03-27T00:00:00.000Z,4,567.16,8.85,7.47,17.85,39.624,527
2022-03-28T00:00:00.000Z,2.5,389.5,4.97,3.4,8.57,32.424,558
2022-03-29T00:00:00.000Z,1.3,64.15,2.89,2.29,4.05,8.101,114
2022-04-01T00:00:00.000Z,2.25,47.75,4.93,3.5,8.18,7.989,245
2022-04-02T00:00:00.000Z,4.05,18.3,7.64,6.9,8.55,2.288,470
2022-04-03T00:00:00.000Z,3.25,224.38,5.21,4.32,8.5,27.6,434
2022-12-13T00:00:00.000Z,1.9,3.85,2.39,2.25,2.52,0.336,44
2022-12-15T00:00:00.000Z,0.95,4.65,1.49,1.3,1.69,0.651,60
2022-12-16T00:00:00.000Z,1.1,15.5,2.7,2,3.28,1.154,474
2022-12-17T00:00:00.000Z,1.2,24.5,3.35,2.13,4.5,1.91,469
2022-12-18T00:00:00.000Z,1.6,13.18,3.13,2.52,4.22,1.483,226
2022-12-19T00:00:00.000Z,0.52,21.85,1.3,1,1.8,1.682,416
2022-12-20T00:00:00.000Z,0.7,13.15,1.79,1.33,2.63,1.041,532
2022-12-21T00:00:00.000Z,0.9,17.88,1.75,1.33,3.08,1.839,283
2022-12-22T00:00:00.000Z,0.5,12.77,2,1.3,2.75,1.145,504
2022-12-23T00:00:00.000Z,0.9,4.84,1.7,1.45,2.04,0.557,347
2022-12-24T00:00:00.000Z,0.56,5.47,1.3,1,1.58,0.514,221
2022-12-25T00:00:00.000Z,1.1,8.9,1.67,1.5,1.9,0.652,200
2022-12-26T00:00:00.000Z,1.92,13.65,3.85,2.8,4.97,1.346,351
2022-12-27T00:00:00.000Z,3,33.85,7.6,4.34,13.78,7.071,457
2022-12-28T00:00:00.000Z,0.7,13.3,2.42,2,2.85,1.03,470
2022-12-29T00:00:00.000Z,0.8,19.3,2.39,1.6,2.95,1.488,502
2022-12-30T00:00:00.000Z,0.8,9,2.33,2.02,2.7,1.044,353
2022-12-31T00:00:00.000Z,8.73,20.1,10.18,9.65,10.82,1.481,191
2023-01-01T00:00:00.000Z,2.92,12.73,6.23,4.97,8.15,2.2,226
2023-01-02T00:00:00.000Z,2.6,10.57,3.87,3.37,4.68,0.968,336
2023-01-03T00:00:00.000Z,0.9,13.3,2.02,1.59,2.5,0.902,405
2023-01-04T00:00:00.000Z,0.95,11.88,2.2,1.75,2.67,0.849,470
2023-01-05T00:00:00.000Z,1.6,45.33,3.8,2.72,5.07,3.68,505
2023-01-06T00:00:00.000Z,2.7,83.72,5.9,4.68,11.46,5.468,505
2023-01-07T00:00:00.000Z,3.85,15.5,8.13,5.35,10.7,2.933,229
2023-01-08T00:00:00.000Z,1.4,32.33,3.5,2.29,5.85,3.065,295
2023-01-09T00:00:00.000Z,1,38.15,5.6,3.6,7.75,3.386,465
2023-01-10T00:00:00.000Z,0.7,31.38,3.22,1.6,4.13,2.001,521
2023-01-11T00:00:00.000Z,0.6,12.15,1.3,1,1.8,0.965,486
2023-01-12T00:00:00.000Z,0.5,16.42,2,1.4,2.85,1.436,515
2023-01-13T00:00:00.000Z,0.7,11.55,1.6,1.23,2.17,1.022,431
2023-01-14T00:00:00.000Z,1.02,6.4,2.4,1.9,3,0.994,363
2023-01-15T00:00:00.000Z,1,113.68,1.95,1.6,2.7,8.589,208
2023-01-16T00:00:00.000Z,1.23,23.55,4.18,2.52,5.45,2.155,445
2023-01-17T00:00:00.000Z,1.6,31.98,3.4,2.67,4.22,1.921,428
2023-01-18T00:00:00.000Z,2.1,14.93,5.6,3.53,6.9,2.451,437
2023-01-19T00:00:00.000Z,1.58,37.28,5,2.9,6.5,3.173,533
2023-01-20T00:00:00.000Z,1.63,17.13,5.88,3.9,7.81,2.863,508
2023-01-21T00:00:00.000Z,1.5,27.8,4.45,3.8,5.4,2.17,381
2023-01-22T00:00:00.000Z,1.95,38.2,4.3,3.4,6.2,4.694,250
2023-01-23T00:00:00.000Z,0.4,83.25,3.03,1.79,5.27,4.73,421
2023-01-24T00:00:00.000Z,0.3,5,1.7,1,2.13,0.98,219
2023-02-10T00:00:00.000Z,6.6,78.4,31.65,18.2,39.97,17.656,223
2023-02-11T00:00:00.000Z,3.17,152.63,29.63,15.53,86.53,42.651,421
2023-02-17T00:00:00.000Z,1.9,3.3,2.4,2.33,2.72,0.365,15
2023-02-20T00:00:00.000Z,11.45,66,20.02,15.04,31.23,14.222,269
2023-02-21T00:00:00.000Z,2.29,160.69,10.6,6.61,28.33,41.543,504
2023-02-22T00:00:00.000Z,2.4,27.02,14.61,11.95,17.42,4.566,394
