# Sensor Pedro Luis Manríquez, Valdivia, Chile (Purple Air/95949)
# https://aqicn.org/station/@231892/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2021-10-21T00:00:00.000Z,24.2,68.5,40.7,30.2,48.4,10.902,43
2021-10-22T00:00:00.000Z,1.1,202.8,24.3,11.45,37.5,21.742,624
2021-10-23T00:00:00.000Z,0.7,207.5,31.3,12.55,46.95,28.312,621
2021-10-24T00:00:00.000Z,0.7,210.2,31.7,13.8,46,27.626,622
2021-10-25T00:00:00.000Z,1.5,247.8,22,8.05,36.4,28.202,641
2021-10-26T00:00:00.000Z,0,98.7,3.65,1.7,12.85,13.211,596
2021-10-27T00:00:00.000Z,2.1,207.1,23.2,9.6,40.79,27.612,618
2021-10-28T00:00:00.000Z,2.2,134.1,16.8,8.9,28.2,18.6,617
2021-10-29T00:00:00.000Z,0.6,186.4,18,8.69,29.9,18.372,619
2021-10-30T00:00:00.000Z,0,113.9,6.5,2.7,14.7,13.107,599
2021-10-31T00:00:00.000Z,0,1000.8,7,4.2,12.95,74.241,621
2021-11-01T00:00:00.000Z,1,134.1,4.8,3,9.35,13.269,601
2021-11-02T00:00:00.000Z,0.3,148.7,6.5,4.6,13.5,15.833,598
2021-11-03T00:00:00.000Z,0,329.6,14.25,3.3,24.9,25.643,598
2021-11-04T00:00:00.000Z,0.9,258.8,22.5,9.3,42.5,37.287,626
2021-11-05T00:00:00.000Z,0,199.6,13.05,3.9,41.15,40.653,588
2021-11-06T00:00:00.000Z,0.3,148,4.8,2.2,10.85,12.774,569
2022-02-01T00:00:00.000Z,0,47.7,2.3,0.8,4.8,5.599,385
2022-02-02T00:00:00.000Z,0.1,46,3.5,2.1,6.5,6.288,619
2022-02-03T00:00:00.000Z,0.4,31.1,5.8,3,6.9,3.205,621
2022-02-04T00:00:00.000Z,0,36.7,1.6,0.8,3.3,3.566,615
2022-02-05T00:00:00.000Z,0,30.7,2.8,1.7,4.8,3.844,599
2022-02-06T00:00:00.000Z,0.2,14.6,1.9,1.3,2.7,1.921,584
2022-02-07T00:00:00.000Z,0.2,30.1,2.2,1.7,2.7,3.184,577
2022-02-08T00:00:00.000Z,0,41.7,2.3,1.3,4.4,4.121,566
2022-02-09T00:00:00.000Z,0,109.1,1.8,0.9,3.8,9.523,572
2022-02-10T00:00:00.000Z,0,39.6,2.9,1.2,6.4,8.514,570
2022-02-11T00:00:00.000Z,0,35.7,2.9,0.7,6.1,4.461,531
2022-02-12T00:00:00.000Z,0,30.1,1.6,0.6,2.6,3.12,579
2022-02-13T00:00:00.000Z,0.2,30.8,2.2,1.2,6.8,5.397,557
2022-02-14T00:00:00.000Z,0.6,153.7,5.9,2.7,10.8,12.522,595
2022-02-15T00:00:00.000Z,2.5,51.8,7.3,4.75,10.19,5.657,617
2022-02-16T00:00:00.000Z,0,130.4,4.1,1.85,6.95,9.577,589
2022-02-17T00:00:00.000Z,0.3,94.7,1.5,1,3.8,12.745,583
2022-02-18T00:00:00.000Z,0.4,93,4,2,7.9,7.965,595
2022-02-19T00:00:00.000Z,0.3,96,7.1,5.2,11.5,9.496,615
2022-02-20T00:00:00.000Z,1,417,9.7,4.59,19,47.481,609
2022-02-21T00:00:00.000Z,0,251.5,4,0.5,9.25,16.742,493
2022-02-22T00:00:00.000Z,0,55.3,8.1,0.8,14.5,9.034,477
2022-02-23T00:00:00.000Z,10,108.6,19,16.1,24.5,9.971,611
2022-02-24T00:00:00.000Z,5,85.3,20.7,17,25.7,8.33,611
2022-02-25T00:00:00.000Z,1.5,95.5,12.1,7.9,18.5,10.989,620
2022-02-26T00:00:00.000Z,0.4,65,2.8,2,5.8,7.204,604
2022-02-27T00:00:00.000Z,0.4,114.7,2.7,1.5,8.8,11.861,604
2022-02-28T00:00:00.000Z,0.5,222,9.4,4.3,16.45,14.252,536
