# Sensor Perquenco, Chile (Purple Air/94605)
# https://aqicn.org/station/@216340/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2021-09-07T00:00:00.000Z,0.3,354.1,7.8,3.8,29,40.775,326
2021-09-08T00:00:00.000Z,6.8,297.8,31.3,23.5,48.9,42.344,593
2021-09-09T00:00:00.000Z,14,191.7,31.6,24,39.6,17.567,578
2021-09-10T00:00:00.000Z,4.1,176.2,25,14.2,37.29,22.574,594
2021-09-11T00:00:00.000Z,4.8,294.7,32.7,21.9,61.55,54.375,632
2021-09-12T00:00:00.000Z,0,44.5,10.5,5.5,15.1,8.319,604
2021-09-13T00:00:00.000Z,1.6,55,14.6,10,20.45,10.182,564
2021-09-14T00:00:00.000Z,1.3,339.9,35.1,13.3,54.3,49.909,607
2021-09-15T00:00:00.000Z,1.6,159.6,32.6,16.35,43.9,19.918,600
2021-09-16T00:00:00.000Z,9.6,213.9,33.9,23.3,48.85,30.695,616
2021-09-17T00:00:00.000Z,0.7,57.2,17.5,8.4,27.5,12.042,615
2021-09-18T00:00:00.000Z,2.6,51.9,17.95,10.55,27.3,11.505,592
2021-09-19T00:00:00.000Z,3.6,92,12.9,9,23.6,13.162,608
2021-09-20T00:00:00.000Z,6.6,147.5,21,14.75,28.9,18.458,609
2021-09-21T00:00:00.000Z,0.6,86.7,18.2,10.7,28.1,12.544,615
2021-09-22T00:00:00.000Z,14.3,117.4,23.8,19.1,31.1,13.887,603
2021-09-23T00:00:00.000Z,7.9,206.6,34.7,26.9,43.4,22.583,604
2021-09-24T00:00:00.000Z,5.9,218.7,27.8,20.39,35.9,22.77,602
2021-09-25T00:00:00.000Z,6.3,71.7,20.2,15.6,29.2,11.091,471
2021-09-26T00:00:00.000Z,1.9,169.4,13.3,7.7,28.2,29.428,572
2021-09-27T00:00:00.000Z,3.4,286.3,23.1,12.6,45.5,33.698,610
2021-09-28T00:00:00.000Z,2.5,247.3,29.45,10.19,45.8,27.158,590
2021-09-29T00:00:00.000Z,5,112,24.4,15.9,43.3,19.15,592
2021-09-30T00:00:00.000Z,1.8,47.8,13,8.5,20,10.156,595
2021-10-01T00:00:00.000Z,4.2,97.1,16.2,10.25,27.35,13.386,605
2021-10-02T00:00:00.000Z,0.9,72.6,12.6,8.3,18.3,9.034,606
2021-10-03T00:00:00.000Z,2.3,119.3,14.85,8.69,29.1,17.174,604
2021-10-04T00:00:00.000Z,3.4,135.6,14.9,9.8,24.5,16.925,604
2021-10-05T00:00:00.000Z,3.4,120.6,16.2,9.65,23.55,14.638,585
2021-10-06T00:00:00.000Z,1,203.9,14.2,5.15,30.4,20.022,577
2021-10-07T00:00:00.000Z,1.1,104.7,17.1,6,31.4,16.91,603
