# Sensor Piloto_41, Provincia de Santiago, Chile (Purple Air/46707)
# https://aqicn.org/station/@364156/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2022-11-25T00:00:00.000Z,4.9,8.5,6.3,5.8,6.8,0.679,38
2022-11-26T00:00:00.000Z,3.5,31.5,11.35,7.55,21.7,8.036,656
2022-11-27T00:00:00.000Z,7.1,30.2,13.6,10.19,17.9,5.719,655
2022-11-28T00:00:00.000Z,8.2,46.6,17.55,12.05,26.45,8.267,660
2022-11-29T00:00:00.000Z,9.2,42,16.39,13.35,27.7,8.64,657
2022-11-30T00:00:00.000Z,7.1,70.2,17.89,11.85,25.9,9.236,652
2022-12-01T00:00:00.000Z,4,28.4,11.2,8.8,15.1,5.93,579
2022-12-02T00:00:00.000Z,4.1,33.9,8.35,6,13.2,5.875,648
2022-12-03T00:00:00.000Z,4.5,24.8,7.8,6.3,11.8,4.093,627
2022-12-04T00:00:00.000Z,2.7,30.4,8.9,6.8,11.2,5.089,649
2022-12-05T00:00:00.000Z,1.8,25,7,4.9,9.5,4.009,632
2022-12-06T00:00:00.000Z,2,30.4,7.9,5.3,11.15,6.653,613
2022-12-07T00:00:00.000Z,4,29.2,12.65,9.6,18.45,5.7,304
