# Sensor Playa 2, Ñuñoa, Chile (Citizen Science project sensor.community/35271)
# https://aqicn.org/station/@81766/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-10T00:00:00.000Z,1.14,2.15,1.6,1.4,1.72,0.239,38
2019-12-11T00:00:00.000Z,0.2,51.98,1.83,1.12,2.74,3.876,428
2019-12-12T00:00:00.000Z,0,19.47,0.9,0.25,1.53,1.752,480
2019-12-13T00:00:00.000Z,0.04,4.86,1.38,0.25,2.23,1.139,545
2019-12-14T00:00:00.000Z,0.1,3.45,0.86,0.56,1.21,0.553,397
2019-12-15T00:00:00.000Z,0.15,3.76,1.27,0.8,1.7,0.621,568
2019-12-16T00:00:00.000Z,0.05,1.72,0.24,0.15,0.62,0.402,285
2019-12-17T00:00:00.000Z,0.05,4.55,1.85,1.31,2.25,0.981,286
2019-12-18T00:00:00.000Z,0.1,6.72,1.01,0.47,2.45,1.231,463
2019-12-19T00:00:00.000Z,0.09,3.58,0.81,0.56,1.38,0.64,549
2019-12-20T00:00:00.000Z,0,3.65,1.14,0.55,1.67,0.772,585
2019-12-21T00:00:00.000Z,0.1,3.75,0.8,0.5,1.06,0.444,567
2019-12-22T00:00:00.000Z,0.02,2.78,0.94,0.3,1.29,0.577,581
2019-12-23T00:00:00.000Z,0.06,2.5,0.81,0.26,1.26,0.554,579
2019-12-24T00:00:00.000Z,0.12,3.16,1.13,0.69,1.46,0.558,580
2019-12-25T00:00:00.000Z,0.14,12.79,1.35,0.95,1.82,1.04,576
2019-12-26T00:00:00.000Z,0.05,84.59,0.95,0.51,1.66,4.594,576
2019-12-27T00:00:00.000Z,0.05,5.26,1.2,0.46,1.79,0.765,581
2019-12-28T00:00:00.000Z,0.13,4.11,1,0.46,1.52,0.752,583
2019-12-29T00:00:00.000Z,0.12,5.16,0.56,0.35,0.84,0.703,264
2020-01-20T00:00:00.000Z,3.03,4.78,3.84,3.47,4.13,0.412,49
2020-01-21T00:00:00.000Z,0.18,6.76,2.69,1.2,4.46,1.796,456
2020-01-22T00:00:00.000Z,1.4,3.18,2.16,1.72,2.83,0.608,16
2020-01-23T00:00:00.000Z,1.75,4.24,2.86,2.5,3.25,0.507,83
2020-01-24T00:00:00.000Z,0.45,4.93,1.5,0.95,2.67,1.096,263
2020-01-25T00:00:00.000Z,0.16,5.56,1.69,0.67,3.37,1.55,300
2020-01-26T00:00:00.000Z,0.25,4.62,1.85,1.05,2.85,1.024,303
2020-01-27T00:00:00.000Z,0.2,4.78,1.27,0.51,2.24,1.067,251
2020-01-28T00:00:00.000Z,0.18,4.79,1.49,0.65,3.01,1.302,269
2020-01-29T00:00:00.000Z,0.09,4.78,1.5,0.98,2.17,0.964,305
2020-01-30T00:00:00.000Z,0.12,5.09,1.48,0.62,2.54,1.111,290
2020-01-31T00:00:00.000Z,0.09,5.08,1.74,0.74,2.78,1.186,286
2020-02-01T00:00:00.000Z,0.1,9.98,1.65,0.65,2.41,1.145,326
2020-02-02T00:00:00.000Z,0.15,4.8,1.92,0.75,2.86,1.176,319
2020-02-03T00:00:00.000Z,0,3.88,0.57,0.22,1.12,0.581,307
2020-02-04T00:00:00.000Z,0.05,2.46,0.67,0.38,1.12,0.47,254
2020-02-05T00:00:00.000Z,0.04,2.52,1.2,0.52,1.7,0.681,224
2020-02-06T00:00:00.000Z,0,3.48,0.7,0.3,1.33,0.711,233
2020-02-07T00:00:00.000Z,0.04,2.48,0.56,0.25,1.29,0.606,211
2020-02-08T00:00:00.000Z,0.18,3.99,1.38,0.79,1.81,0.757,191
2020-02-09T00:00:00.000Z,0.1,7.96,1.25,0.49,2.21,1.055,348
2020-02-10T00:00:00.000Z,0.08,6.43,1.44,0.43,3.78,1.783,342
2020-02-11T00:00:00.000Z,0.13,25.01,2.2,0.79,7.35,5.12,353
2020-02-12T00:00:00.000Z,0.68,16.29,4.09,2.11,9.55,4.237,385
2020-02-13T00:00:00.000Z,0.1,7.41,2.47,0.75,4.42,2.062,373
2020-02-14T00:00:00.000Z,0.25,16.69,1.4,0.62,3.76,3.685,381
2020-02-15T00:00:00.000Z,0.56,7.9,2.06,1.22,3.99,1.812,321
2020-02-16T00:00:00.000Z,0.28,5.54,1.88,0.9,3.03,1.296,373
2020-02-17T00:00:00.000Z,0.28,9.93,1.85,1.12,2.52,1.513,342
2020-02-18T00:00:00.000Z,0.08,5.71,1,0.3,2.58,1.242,303
2020-02-19T00:00:00.000Z,0.2,6.98,1.48,0.6,3.02,1.417,448
2020-02-20T00:00:00.000Z,0.08,8.18,1.6,0.45,4.69,2.252,494
2020-02-21T00:00:00.000Z,0.62,11.66,2.98,1.56,6.18,2.772,407
2020-02-23T00:00:00.000Z,2.36,4.73,3.26,2.89,3.69,0.56,56
2020-02-24T00:00:00.000Z,0.5,21.05,4.37,2.94,6.14,3.672,518
2020-02-25T00:00:00.000Z,0.6,12.75,2.78,1.97,4.19,2.362,441
2020-02-26T00:00:00.000Z,0.24,12.43,1.34,0.85,2.04,1.052,395
2020-02-27T00:00:00.000Z,0.15,12.68,2.24,0.59,3.26,1.561,549
2020-02-28T00:00:00.000Z,0.15,8.44,1.24,0.47,4.26,2.36,472
2020-04-12T00:00:00.000Z,0.65,15.63,2.62,1.35,4.94,3.159,221
2020-04-13T00:00:00.000Z,0.22,3.56,1.21,0.85,1.88,0.686,579
2020-04-14T00:00:00.000Z,0.28,4.24,0.94,0.68,1.42,0.754,569
