# Sensor Praga, Providencia, Chile (Citizen Science project sensor.community/16616)
# https://aqicn.org/station/@94606/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-01-18T00:00:00.000Z,6,15.85,7.72,7.06,9.86,2.101,212
2020-01-19T00:00:00.000Z,5.92,18.54,8.23,7.49,8.91,1.436,464
2020-01-20T00:00:00.000Z,7.25,69.45,10.07,8.52,13.04,5.688,356
2020-01-21T00:00:00.000Z,6.3,64.84,9.43,7.48,10.8,6.132,431
2020-02-27T00:00:00.000Z,5.4,10.9,6.47,6.14,6.82,0.832,95
2020-02-28T00:00:00.000Z,4.51,28.5,9.19,6.41,12.76,4.494,564
2020-02-29T00:00:00.000Z,13.7,40.28,18.98,17.45,22.47,5.406,569
2020-03-01T00:00:00.000Z,8.35,32.72,17.92,14.85,20.05,4.772,506
2021-02-01T00:00:00.000Z,2.9,17.6,4.79,3.97,8.41,3.88,76
2021-02-02T00:00:00.000Z,2.2,31.9,6.63,4.04,12.8,6.197,240
2021-02-03T00:00:00.000Z,4,136.19,9.78,7,17.6,13.467,226
2021-02-04T00:00:00.000Z,5.7,82.97,9.52,7.63,11.5,6.92,269
2021-02-05T00:00:00.000Z,7.83,11.3,9.77,8.18,10.75,1.253,13
2021-02-06T00:00:00.000Z,8.69,37.5,14.8,12.2,18.63,5.739,222
2021-02-07T00:00:00.000Z,10.97,542.37,16.89,14.7,23.87,70.662,238
2021-02-08T00:00:00.000Z,6.23,179.2,9.8,8.5,13.03,16.111,255
2021-02-09T00:00:00.000Z,4.8,196.1,7.31,6.1,16.47,15.709,244
2021-02-10T00:00:00.000Z,9.27,325.67,20.27,13.67,29.47,37.671,238
2021-02-11T00:00:00.000Z,12.07,162.66,17.17,15.3,23.07,27.376,235
2021-02-12T00:00:00.000Z,10.73,52.33,24.82,19.32,29.6,7.954,274
2021-02-13T00:00:00.000Z,13,14.53,14,13.39,14.32,0.511,17
2021-02-14T00:00:00.000Z,6.73,159.77,20.65,8.9,48.9,36.721,46
2021-02-15T00:00:00.000Z,8.8,96.4,16.69,11.29,21.15,12.373,244
2021-02-16T00:00:00.000Z,9.6,168.5,14.8,12.6,17.89,19.959,231
2021-02-17T00:00:00.000Z,3.77,121.3,13.15,7.27,24.75,17.828,232
2021-02-18T00:00:00.000Z,2.7,277.37,5.59,3.8,9.1,20.305,266
2021-02-19T00:00:00.000Z,2.4,335.13,6.37,4.55,13.35,41.685,244
2021-02-20T00:00:00.000Z,5,6.5,5.7,5.4,6.13,0.461,7
2021-03-16T00:00:00.000Z,6.23,24.77,15.3,11.57,19.77,5.499,94
2021-03-17T00:00:00.000Z,2.5,90.47,7.93,3.97,12.7,11.903,263
2021-03-18T00:00:00.000Z,4.23,110,9.78,6.05,19.67,14.449,240
2021-03-19T00:00:00.000Z,2.7,134.19,11.17,4.76,20,22.92,241
2021-03-20T00:00:00.000Z,2,235.3,5.17,3.73,8.77,29.35,253
2021-04-15T00:00:00.000Z,14.2,18.3,16.25,14.2,18.3,2.05,2
2021-04-16T00:00:00.000Z,7.87,77.47,11.9,10.5,15.7,8.147,134
2021-04-17T00:00:00.000Z,8.05,302.43,21.65,14.87,23.57,35.575,148
2021-04-18T00:00:00.000Z,11.4,307.43,29.53,20.05,42.19,33.838,133
2021-04-19T00:00:00.000Z,9.9,32.72,18.7,14.9,22.5,6.335,127
2021-04-20T00:00:00.000Z,6.93,143.37,58.8,23.78,128.41,49.404,5
2021-04-21T00:00:00.000Z,0.6,53.7,4.9,2.06,12.4,9.967,126
2021-04-22T00:00:00.000Z,2.7,15.07,9.27,7.09,10.78,3.096,20
2021-04-23T00:00:00.000Z,26.4,103.27,33.24,28.87,40.15,18.336,16
2021-04-24T00:00:00.000Z,15.9,89.03,33.94,24.7,39.75,13.676,128
2021-04-25T00:00:00.000Z,8.5,247.97,20.7,18.39,23,23.733,157
2021-04-26T00:00:00.000Z,9.73,79.97,14.94,12.8,25.3,12.724,134
