# Sensor Prat.ex.SR1, Santiago, Chile (Purple Air/115363)
# https://aqicn.org/station/@355777/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2022-09-13T00:00:00.000Z,31.2,44,37,35.4,40.95,3.092,221
2022-09-14T00:00:00.000Z,21.5,60.4,36.79,33.4,46.4,8.756,623
2022-09-15T00:00:00.000Z,23.7,54.1,39.29,34.75,44.5,6.341,608
2022-09-16T00:00:00.000Z,25.8,49.6,40.29,34.15,43.45,6.143,652
2022-09-17T00:00:00.000Z,6.5,47.4,34.85,29.7,39.65,9.082,616
2022-09-18T00:00:00.000Z,2.8,48.6,13.8,8.5,20.3,8.129,635
2022-09-19T00:00:00.000Z,5.7,44,29.4,21.6,34.7,10.155,633
2022-09-20T00:00:00.000Z,0,24.7,11.85,7.8,19,6.564,634
2022-09-21T00:00:00.000Z,0,23.4,3.4,1.14,9.1,6.39,585
2022-09-22T00:00:00.000Z,0,43.9,17.8,3.55,22.7,12.002,641
2022-09-23T00:00:00.000Z,4.6,47.6,30.5,24.6,36.2,10.022,644
2022-09-24T00:00:00.000Z,8,35.4,18.3,13.1,24.8,7.045,648
2022-09-25T00:00:00.000Z,5,41.1,18.7,13.9,25.2,9.365,634
2022-09-26T00:00:00.000Z,4.1,49.1,17.2,7.5,30,12.398,602
2022-09-27T00:00:00.000Z,5.7,46.3,22.2,10.6,32.6,12.24,619
2022-09-28T00:00:00.000Z,6.9,39.5,22.2,15.1,31.4,9.588,631
2022-09-29T00:00:00.000Z,23.5,60,38.3,31.2,44.2,8.968,603
2022-09-30T00:00:00.000Z,30.1,71.6,45.7,38.5,50.6,10.611,639
2022-10-01T00:00:00.000Z,18,69.3,39.6,30.1,45.25,10.999,652
2022-10-02T00:00:00.000Z,17.8,49.3,39.4,28,43.5,8.775,646
2022-10-03T00:00:00.000Z,17.1,43.6,31.4,24.25,34.4,6.929,624
2022-10-04T00:00:00.000Z,2.2,50.2,22.1,19.95,30.95,11.101,621
2022-10-05T00:00:00.000Z,1,139,11.2,3.4,30.7,19.671,623
2022-10-06T00:00:00.000Z,3,39.3,18.4,9.8,29,10.926,627
2022-10-07T00:00:00.000Z,0,43.6,22.2,5.5,27.65,11.45,517
2022-10-08T00:00:00.000Z,0,21.4,0.8,0.3,6.7,6.068,546
2022-10-09T00:00:00.000Z,0,26.2,7.8,3.25,13.1,7.004,633
2022-10-10T00:00:00.000Z,0,23.5,2.8,1.7,6.8,4.974,623
2022-10-11T00:00:00.000Z,3.5,37.7,9.1,6.1,20.5,9.8,619
2022-10-12T00:00:00.000Z,0.8,42.3,16.2,8.5,27.4,12.563,607
2022-10-13T00:00:00.000Z,0.4,36.1,15.45,6.2,24.45,10.382,632
2022-10-14T00:00:00.000Z,1.1,38.7,9.1,4.4,23.4,11.433,622
2022-10-15T00:00:00.000Z,1.8,41.9,18.7,6.1,30.55,12.307,645
2022-10-16T00:00:00.000Z,2.6,34.6,14.6,5.3,23,9.359,655
2022-10-17T00:00:00.000Z,0,28.8,4,1.5,10.2,7.861,593
2022-10-18T00:00:00.000Z,0.1,38.6,11.75,4.5,24.1,11.068,378
2022-11-02T00:00:00.000Z,3.5,41,7.4,5,11.3,6.652,235
2022-11-03T00:00:00.000Z,2.7,32.3,6.6,4.34,11.35,8.831,465
2022-11-04T00:00:00.000Z,5.7,51.5,18.05,8.19,26.9,10.404,638
2022-11-05T00:00:00.000Z,5.1,35.1,7.85,6.8,22.2,10.194,650
2022-11-06T00:00:00.000Z,4.8,30.5,9.5,7.2,18.89,7.653,650
2022-11-07T00:00:00.000Z,6.9,35.7,15.05,9.8,22.05,8.513,652
2022-11-08T00:00:00.000Z,12.8,36.3,23.35,18.4,28.2,5.976,652
2022-11-09T00:00:00.000Z,0.2,40.5,21.4,14,27,9.304,659
2022-11-10T00:00:00.000Z,0.4,38.9,7,2.9,22.65,11.922,649
2022-11-11T00:00:00.000Z,0,30.9,5.6,3,15.7,9.114,605
2022-11-12T00:00:00.000Z,0,22.9,0.4,0.1,1.1,2.104,496
2022-11-13T00:00:00.000Z,0,35.2,3.5,1.7,7.7,5.415,563
2022-11-14T00:00:00.000Z,0,26.2,7,0.6,18.14,8.604,393
2022-11-15T00:00:00.000Z,0,32,8.1,1.9,20.3,10.067,567
2022-11-16T00:00:00.000Z,0.2,19.5,5.9,3.5,9.55,4.299,632
2022-11-17T00:00:00.000Z,1.2,22.4,6.1,3.1,12.25,5.793,593
2022-11-18T00:00:00.000Z,0.3,30.7,11.2,4.8,19.35,8.619,636
2022-11-19T00:00:00.000Z,0,15.1,3.4,2.6,4.8,2.93,658
2022-11-20T00:00:00.000Z,0,26.7,6.5,3.9,8.19,5.24,539
2022-11-21T00:00:00.000Z,0,17.5,1.14,0.4,3.2,2.867,548
2022-11-22T00:00:00.000Z,0.1,13.2,2.8,1.6,4.2,2.464,622
2022-11-23T00:00:00.000Z,0.2,26.2,4.4,2.8,13.85,6.774,645
2022-11-24T00:00:00.000Z,0.8,25.3,7.9,5.3,12.05,6.454,453
