# Sensor SICAM2_MT Regimiento, Traiguén, Chile (Purple Air/54999)
# https://aqicn.org/station/@116725/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-05-08T00:00:00.000Z,20.98,318.58,74.87,56.47,94.72,40.765,519
2020-05-09T00:00:00.000Z,6.79,138.47,30.79,20.81,42.72,19.776,473
2020-05-10T00:00:00.000Z,2.02,114.24,16.17,6.38,24.41,13.395,351
2020-05-11T00:00:00.000Z,2.64,171.21,52.81,15.34,76.58,41.369,481
2020-05-12T00:00:00.000Z,1.71,300.58,17.07,8,41.43,32.5,699
2020-05-13T00:00:00.000Z,8.05,236.26,41.57,30.53,61.45,36.293,720
2020-05-14T00:00:00.000Z,14.06,311.42,50.55,42.07,76.54,45.877,714
2020-05-15T00:00:00.000Z,5.33,142.33,31.59,23.38,40.08,15.725,723
2020-05-16T00:00:00.000Z,2.02,301.14,92.03,34.07,145.02,65.976,724
2020-05-17T00:00:00.000Z,0.64,116.09,21.93,7.98,35.99,19.139,721
2020-05-18T00:00:00.000Z,11.44,200.82,44.08,35.19,51.54,34.294,704
2020-05-19T00:00:00.000Z,0,173.48,17.52,5.6,41.14,25.652,722
2020-05-20T00:00:00.000Z,5.23,258.08,39.96,23.94,67.42,40.386,721
2020-05-21T00:00:00.000Z,5.78,170.48,33.17,20.14,53.02,25.69,718
2020-05-22T00:00:00.000Z,7.95,315.26,66.39,43.16,112.11,52.354,707
2020-05-23T00:00:00.000Z,17.75,248.74,76.39,40.81,127.29,56.182,714
2020-05-24T00:00:00.000Z,2.62,381.95,43.71,21.32,76.95,65.696,706
2020-05-25T00:00:00.000Z,1.78,316.67,26.09,12.49,48.67,32.601,718
2020-05-26T00:00:00.000Z,7.18,169.8,29.02,21.47,37.18,15.418,691
2020-05-27T00:00:00.000Z,3.23,125,14.82,9.02,36.78,19.882,717
2020-05-28T00:00:00.000Z,4.17,75.86,22.23,12.6,35.14,13.711,717
2020-05-29T00:00:00.000Z,8.78,459.89,37,25.64,51.49,45.204,719
2020-05-30T00:00:00.000Z,16.34,153.02,35.78,28.75,43.96,17.096,720
2020-05-31T00:00:00.000Z,6.91,155.88,25.16,16.53,36.33,19.226,718
2020-06-01T00:00:00.000Z,14.55,297.04,75.27,49.34,122.54,62.279,657
2020-06-02T00:00:00.000Z,13.59,326.42,69.38,46.6,116.07,64.081,718
2020-06-03T00:00:00.000Z,6.86,363.41,24.08,15.4,40.34,50.778,718
2020-06-04T00:00:00.000Z,9.31,264.36,35.06,24.82,48.54,24.954,716
2020-06-05T00:00:00.000Z,42.13,457.61,82.84,61.84,141.22,80.337,720
2020-06-06T00:00:00.000Z,12.17,233.34,50.76,45.84,62.89,34.427,719
2020-06-07T00:00:00.000Z,15.16,375.75,37.68,29.6,50.44,68.638,719
2020-06-08T00:00:00.000Z,2.23,354.54,38.04,20.54,50.1,34.412,718
2020-06-09T00:00:00.000Z,7.56,437.85,44.02,28.86,160.24,100.474,717
2020-06-10T00:00:00.000Z,6.68,225.18,29.76,16.42,40.82,20.681,718
2020-06-11T00:00:00.000Z,3.88,101.94,21.76,11.48,37.72,16.559,664
2020-06-12T00:00:00.000Z,4,171.75,34.11,20.41,48.44,28.199,715
