# Sensor SICAM4_MT EE Diego Portales, Traiguén, Chile (Purple Air/54997)
# https://aqicn.org/station/@122500/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-05-23T00:00:00.000Z,61.48,295.43,122.3,96.06,150.13,47.978,163
2020-05-24T00:00:00.000Z,2.89,345.73,47.05,17.26,127.79,84.857,716
2020-05-25T00:00:00.000Z,10.49,289.86,44.75,29.55,72.16,60.578,718
2020-05-26T00:00:00.000Z,9.44,301.98,39.67,19.38,70.87,60.206,712
2020-05-27T00:00:00.000Z,1.47,906.21,15.51,7.59,63.04,65.598,718
2020-05-28T00:00:00.000Z,3.33,148.19,14.97,9.14,22.3,14.951,679
2020-05-29T00:00:00.000Z,7.05,403.19,67.14,33.78,114.3,78.991,713
2020-05-30T00:00:00.000Z,26.75,436.62,58.28,45.78,114.52,75.59,615
2020-05-31T00:00:00.000Z,10.07,283.24,39.21,31.62,51.77,45.133,716
2020-06-01T00:00:00.000Z,36.93,370.54,152.16,101.53,205.12,69.064,653
2020-06-02T00:00:00.000Z,6.34,627.73,47.18,30.58,119.33,87.017,707
2020-06-03T00:00:00.000Z,6.45,601.1,36.04,25.18,75.41,99.852,711
2020-06-04T00:00:00.000Z,4.51,1209.73,56.56,28.88,128.86,92.272,705
2020-06-05T00:00:00.000Z,15.74,470.66,103.74,57.64,215.11,112.809,710
2020-06-06T00:00:00.000Z,20.91,567.79,65.54,39,212.21,118.912,711
2020-06-07T00:00:00.000Z,30.5,309.69,57.6,43.18,95.43,58.463,707
2020-06-08T00:00:00.000Z,2.59,312.8,38.6,11.62,73.36,58.748,706
2020-06-09T00:00:00.000Z,5.88,293.3,37.95,26.4,49.71,39.783,702
2020-06-10T00:00:00.000Z,3.43,128.07,20.29,7.92,41.71,17.655,598
2020-06-11T00:00:00.000Z,5.7,138.63,23.26,11.99,47.29,26.008,637
2020-06-12T00:00:00.000Z,2.25,546.74,58.09,40.61,85.27,69.248,715
2020-06-13T00:00:00.000Z,2.81,446.15,150.07,73.54,207.24,88.919,718
2020-06-14T00:00:00.000Z,7.23,406.26,86.88,36.34,172.55,89.637,715
2020-06-15T00:00:00.000Z,17.42,507.82,157.53,36.86,323.57,147.832,663
2020-06-16T00:00:00.000Z,2.98,303.75,30.31,17.34,42.1,32.795,705
2020-06-17T00:00:00.000Z,7.19,314.29,75.44,47.83,113.2,50.825,716
2020-06-18T00:00:00.000Z,0.79,192.02,23.02,5.91,51.43,34.676,563
2020-06-19T00:00:00.000Z,5.73,251.77,42.89,33.74,52.94,26.042,718
2020-06-20T00:00:00.000Z,3.47,232.69,24.7,14.91,49.05,33.113,720
2020-06-21T00:00:00.000Z,20.64,625.7,153.13,89.86,214.28,98.749,717
2020-06-22T00:00:00.000Z,0.44,274,27.85,9.63,40.65,41.218,718
2020-06-23T00:00:00.000Z,3.22,485.41,51.31,36.54,96.09,82.948,659
2020-06-24T00:00:00.000Z,1.74,312.27,37.29,23.26,69.2,56.169,643
2020-06-25T00:00:00.000Z,18.72,339.76,48.36,37.69,82.6,56.454,665
2020-06-26T00:00:00.000Z,3.21,412.95,39.61,29.61,158.79,93.782,648
2020-06-27T00:00:00.000Z,12.61,378.77,33.61,24.83,42.82,52.898,601
2020-06-28T00:00:00.000Z,5.68,315.07,29.02,17.87,37.32,42.632,572
2020-06-29T00:00:00.000Z,1.73,167.3,25.63,12.7,46.66,27.962,550
2020-06-30T00:00:00.000Z,4.98,282.37,28.88,20.39,39.11,40.135,551
2020-07-01T00:00:00.000Z,0.91,396.85,16.97,7.85,31.29,23.854,492
2020-07-08T00:00:00.000Z,14.71,306.55,53.33,36.77,90.85,49.537,164
2020-07-09T00:00:00.000Z,5.69,326.83,26.76,16.16,40.97,44.232,572
2020-07-10T00:00:00.000Z,0.24,274.8,31.91,17.29,50.67,51.15,559
2020-07-11T00:00:00.000Z,6.59,233.49,40.54,24.84,58.27,40.363,567
2020-07-12T00:00:00.000Z,6.46,334.33,45.31,30.11,77.66,39.011,564
2020-07-13T00:00:00.000Z,3.61,288.95,26.23,13,44.47,34.393,557
2020-07-14T00:00:00.000Z,19.87,357.02,142.96,98.51,197.72,69.263,553
2020-07-15T00:00:00.000Z,36.29,520.73,227.51,110.68,283.85,108.139,515
2020-07-30T00:00:00.000Z,31.36,70.34,42.28,38.95,47.11,7.008,90
2020-07-31T00:00:00.000Z,15.54,547.82,63.96,42.39,149.02,104.713,507
2020-08-01T00:00:00.000Z,18.69,437.1,52.75,33.95,138.15,82.822,499
2020-08-02T00:00:00.000Z,54.87,750.7,335.95,149.06,589.04,214.132,116
2020-08-06T00:00:00.000Z,5.2,60.57,26.42,20.93,33.07,9.571,168
2020-08-07T00:00:00.000Z,4.12,394.82,34.58,16.42,76.09,70.046,629
2020-08-08T00:00:00.000Z,4.63,504.2,180.68,44.16,235.5,110.857,613
2020-08-09T00:00:00.000Z,7.83,483.25,48.89,33.35,142.91,74.69,627
2020-08-10T00:00:00.000Z,1.46,372.86,37.95,19.36,70.44,75.911,631
2020-08-11T00:00:00.000Z,7.36,587.66,105.8,33.42,169.67,90.376,605
2020-08-12T00:00:00.000Z,7.46,295.29,54.32,42.86,85.25,55.525,614
2020-08-13T00:00:00.000Z,9.81,309.22,49.14,42.52,67.84,61.187,600
2020-08-14T00:00:00.000Z,1.13,344.34,42.79,21.25,71.84,63.776,626
2020-08-15T00:00:00.000Z,0.96,439.22,42.03,21.76,73.34,67.365,641
2020-08-16T00:00:00.000Z,9.34,553.51,96.89,41.89,167.07,75.647,626
2020-08-17T00:00:00.000Z,0.12,435.09,24.93,6.07,45.88,42.418,606
2020-08-18T00:00:00.000Z,0,454.62,37.25,19.5,53.69,52.87,624
2020-08-19T00:00:00.000Z,2.14,545.87,40.67,23.84,134.33,115.585,582
2020-08-20T00:00:00.000Z,2.96,166.38,9.49,6.02,16.12,14.23,580
2020-08-21T00:00:00.000Z,6.41,418.92,27.79,14.51,50.51,58.185,584
2020-08-22T00:00:00.000Z,15.53,425.84,50.83,37.28,92.91,61.605,520
2020-08-23T00:00:00.000Z,22.77,436.72,43.83,35.45,158.68,98.19,531
2020-08-24T00:00:00.000Z,14.43,168.56,27.61,22.96,33.42,12.489,475
2020-08-25T00:00:00.000Z,0.7,53.43,11.66,5.09,20.3,11.595,481
