# Sensor SICAM8_IM-Villarrica, Chile (Purple Air/53667)
# https://aqicn.org/station/@132364/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-07-31T00:00:00.000Z,7.62,149.29,29.54,19.77,45,30.389,121
2020-08-01T00:00:00.000Z,0.3,570.77,43.77,22.36,118.7,145.33,422
2020-08-02T00:00:00.000Z,5.32,497.12,76.19,19.84,187.23,119.088,414
2020-08-03T00:00:00.000Z,6.52,658.3,38.26,24.49,65.34,155.678,393
2020-08-04T00:00:00.000Z,11.73,189.17,35.36,27.75,43.78,22.02,512
2020-08-05T00:00:00.000Z,0.61,202.09,28.36,14.14,47.51,31.489,568
2020-08-06T00:00:00.000Z,2.66,460.86,51,21.36,115.39,73.423,613
2020-08-07T00:00:00.000Z,10.93,194.19,47.64,29.37,57,30.794,631
2020-08-08T00:00:00.000Z,15.62,704.46,83.51,39.97,251.65,144.225,611
2020-08-09T00:00:00.000Z,3.17,420.88,28.42,15.49,89.11,89.877,626
2020-08-10T00:00:00.000Z,1.53,161.81,19.72,8.8,36.61,22.543,632
2020-08-11T00:00:00.000Z,8.27,404.93,96.32,45.56,189.45,99.604,611
2020-08-12T00:00:00.000Z,18.64,590.94,76.2,47.72,207.66,117.624,625
2020-08-13T00:00:00.000Z,0.61,257.14,34.93,13.95,45.14,29.601,575
2020-08-14T00:00:00.000Z,4.01,108.51,27.23,19.73,34.96,12.154,438
2020-08-15T00:00:00.000Z,5.21,149.81,27.53,20.2,35.54,16.356,640
2020-08-16T00:00:00.000Z,7.88,120.66,30.49,16.86,46.27,25.492,490
2020-08-17T00:00:00.000Z,21.84,169.26,42.59,36.64,48.35,18.252,257
2020-08-18T00:00:00.000Z,0.96,247.64,22.93,13.15,38.61,19.262,615
2020-08-19T00:00:00.000Z,1.22,582.77,37.94,19.7,147.69,114.213,592
2020-08-20T00:00:00.000Z,3.38,44.36,16.79,7.79,22.61,8.331,579
2020-08-21T00:00:00.000Z,9.64,46.35,18.98,15.28,25.14,6.983,582
2020-08-22T00:00:00.000Z,12.72,212.44,32.94,27.51,41.69,24.542,512
2020-08-23T00:00:00.000Z,7.77,656.97,50.42,19.77,207.04,166.265,544
2020-08-24T00:00:00.000Z,9.56,273.42,33.02,20.87,50.55,45.51,489
2020-08-25T00:00:00.000Z,2,188.55,28.45,10.46,43.4,30.415,485
2020-08-26T00:00:00.000Z,0.87,231.79,16.73,7.33,30.98,20.713,512
2020-08-27T00:00:00.000Z,0.61,153.94,26.34,8.36,40.98,22.693,570
2020-08-28T00:00:00.000Z,0.28,198.61,35.2,7.25,48.36,26.698,522
2020-08-29T00:00:00.000Z,3.43,89.98,32.71,17.96,45.96,16.613,523
2020-08-30T00:00:00.000Z,3.93,189.77,43.68,17.51,67.94,33.836,509
2020-08-31T00:00:00.000Z,1.05,80.27,11.21,4.95,20.3,11.718,495
2020-09-01T00:00:00.000Z,3.81,342.31,66.53,12.88,120.41,74.749,529
2020-09-02T00:00:00.000Z,10,100.43,26.2,17.32,38.65,14.495,296
2020-09-09T00:00:00.000Z,4.25,58.78,14.94,10.77,19.17,9.846,101
2020-09-10T00:00:00.000Z,1.83,86.35,17.75,8.02,30.95,15.937,406
2020-09-11T00:00:00.000Z,10.65,208.35,44.14,30.1,66.28,33.519,345
2020-09-12T00:00:00.000Z,0.95,369.49,21.57,9.11,39.69,82.055,316
2020-09-13T00:00:00.000Z,3.03,431.6,24.49,14.98,61.47,86.3,388
2020-09-14T00:00:00.000Z,3.82,449.35,16.36,10.47,46.28,56.961,348
2020-09-15T00:00:00.000Z,11.33,233.12,35.97,26.58,46.12,33.283,339
2020-09-16T00:00:00.000Z,9.93,191.78,37.03,24.83,52.09,26.921,436
2020-09-17T00:00:00.000Z,5.59,188.2,35.07,22.41,45.9,22.161,352
2020-09-18T00:00:00.000Z,2,119.91,20.91,9.88,42.33,22.513,365
2020-09-19T00:00:00.000Z,2.59,135.16,9.23,6.41,19.19,16.379,418
2020-09-20T00:00:00.000Z,1.28,31.44,7.81,5.47,12.84,5.499,421
2020-09-21T00:00:00.000Z,13.54,148.02,41.53,23.72,60.87,26.857,423
2020-09-22T00:00:00.000Z,4.65,119.74,27.19,15.27,36.33,17.706,431
2020-09-23T00:00:00.000Z,7.07,132.16,25.63,14.17,37.97,24.655,440
2020-09-24T00:00:00.000Z,12.14,37.52,19.43,16.22,23.72,5.595,469
2020-09-25T00:00:00.000Z,10.29,68.81,26.57,16.16,35.5,11.721,498
2020-09-26T00:00:00.000Z,10.48,89.36,30.61,20.3,48.57,16.277,505
2020-09-27T00:00:00.000Z,8.51,73.19,22.67,17.93,32.09,12.303,502
2020-09-28T00:00:00.000Z,9.9,341.24,38.09,23.97,108.26,75.352,460
2020-09-29T00:00:00.000Z,1.32,59.91,14.99,8.02,23.95,11.018,462
2020-09-30T00:00:00.000Z,1.52,95.2,7.07,3.97,14.48,12.75,310
2020-10-01T00:00:00.000Z,6.88,129.11,29.56,21.61,38.54,17.986,122
2020-10-02T00:00:00.000Z,0,279.58,14.2,5.27,37.78,45.786,285
2020-10-03T00:00:00.000Z,0,146.12,0.61,0.09,1.67,9.921,217
2020-10-05T00:00:00.000Z,5.9,84.23,14.63,12.22,20.23,10.16,125
2020-10-06T00:00:00.000Z,3.77,221.77,29.5,17.61,60.62,41.543,333
2020-10-07T00:00:00.000Z,6.97,300.64,27.58,20.3,46.75,37.778,239
2020-10-13T00:00:00.000Z,0.28,107.96,7.21,1.87,14.16,12.912,160
2020-10-14T00:00:00.000Z,2.04,43.09,5.46,3.88,8.41,6.663,421
2020-10-15T00:00:00.000Z,3.35,83.92,8.78,6.66,12.05,6.719,402
2020-10-16T00:00:00.000Z,2.8,156.56,9.68,6.39,15.7,12.823,395
2020-10-17T00:00:00.000Z,6.59,38.96,20.29,17.32,26.73,6.377,432
2020-10-18T00:00:00.000Z,2.12,99.96,17.51,7.1,37.04,21.31,391
2020-10-19T00:00:00.000Z,1.93,173.94,12.72,7.32,30.25,32.859,408
2020-10-20T00:00:00.000Z,1.91,57.6,8.11,5.25,12.76,9.223,401
2020-10-21T00:00:00.000Z,2.83,38.28,8.16,5.42,13.93,6.108,389
2020-10-22T00:00:00.000Z,4.15,67.05,13.05,8.09,20.02,8.816,396
2020-10-23T00:00:00.000Z,4.51,126.59,13.92,10.65,16.59,11.277,384
2020-10-24T00:00:00.000Z,2.58,125.27,28.47,14.35,46.04,23.268,407
2020-10-25T00:00:00.000Z,1.91,270.67,14.16,7.73,79.58,55.28,475
2020-10-26T00:00:00.000Z,2.25,245.55,33.89,16.88,53.07,48.259,442
2020-10-27T00:00:00.000Z,3.48,83.59,18.54,11.71,29.32,13.514,406
2020-10-28T00:00:00.000Z,1.68,81.66,9.96,6.63,15.03,11.134,432
2020-10-29T00:00:00.000Z,1.56,103.54,6.88,4.24,28.74,22.854,308
2020-10-30T00:00:00.000Z,1.71,15.91,6.18,4.68,7.88,2.938,444
2020-10-31T00:00:00.000Z,0.98,28.47,5.87,3.57,8.11,3.572,416
2020-11-01T00:00:00.000Z,3.78,33.76,8.18,7.24,9.52,2.606,459
2020-11-02T00:00:00.000Z,3.52,70.23,13.9,10.11,16.51,6.401,427
2020-11-03T00:00:00.000Z,5.03,70.94,18.51,13.14,22.46,7.31,444
2020-11-04T00:00:00.000Z,0.96,45.14,6.23,3.63,13.47,6.727,286
2020-11-05T00:00:00.000Z,0.63,43.91,10.01,4.5,19.63,10.51,258
2020-11-06T00:00:00.000Z,1.13,21.7,3.33,2.61,4.12,2.064,165
2020-11-07T00:00:00.000Z,0.41,18.14,4.78,3.28,5.95,2.749,367
2020-11-08T00:00:00.000Z,1.1,15.64,4.01,2.79,5.07,2.329,305
2020-11-09T00:00:00.000Z,3.58,28.86,11.67,6.4,14.84,5.491,257
2020-11-10T00:00:00.000Z,2.27,13.43,5.79,3.5,7.41,2.278,207
2020-11-11T00:00:00.000Z,2.61,51.25,14.56,9.68,21.02,9.262,177
2020-11-12T00:00:00.000Z,1.98,46.04,9.78,6,17.55,8.214,294
2020-11-13T00:00:00.000Z,3.48,59.68,10.86,8.3,15.17,6.951,271
2020-11-14T00:00:00.000Z,0.57,161.75,15,5.34,42.57,31.396,278
2020-11-15T00:00:00.000Z,0.59,58.83,3.1,2,9.55,14.582,250
2020-11-16T00:00:00.000Z,0.75,34.7,5.12,3.03,7.87,5.322,246
