# Sensor SICAM9_FRUTILLAR, Chile (Purple Air/51917)
# https://aqicn.org/station/@113527/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-04-10T00:00:00.000Z,4.3,182.15,42.58,15.05,61.21,33.673,556
2020-04-11T00:00:00.000Z,0,64.06,5.24,3.64,10.95,9.355,720
2020-04-12T00:00:00.000Z,1.2,222.71,32.15,8.15,56.13,41.118,718
2020-04-13T00:00:00.000Z,2.66,358.04,63.57,14.71,125.11,76.341,721
2020-04-14T00:00:00.000Z,8.77,414.72,77.45,49.06,129.54,82.386,720
2020-04-15T00:00:00.000Z,23.33,279.6,102.76,80.18,154.59,51.229,721
2020-04-16T00:00:00.000Z,11.14,370.25,108,49.55,187.38,80.565,716
2020-04-17T00:00:00.000Z,11.64,370.38,57.25,39.58,128.66,84.913,712
2020-04-18T00:00:00.000Z,0,140.3,6.89,2.02,23.62,20.565,702
2020-04-19T00:00:00.000Z,1.7,263.79,18.55,7.22,58.61,55.793,694
2020-04-20T00:00:00.000Z,0,340.63,40.65,15.52,108.95,71.753,677
2020-04-21T00:00:00.000Z,4.71,148.69,23.96,16.47,45.11,26.878,718
2020-04-22T00:00:00.000Z,35.11,585.17,133.79,61.7,291.06,144.472,720
2020-04-23T00:00:00.000Z,10.79,412.5,66.94,34.61,170.07,100.051,703
2020-04-24T00:00:00.000Z,2.81,105.51,9.46,5.49,25.45,18.568,719
2020-04-25T00:00:00.000Z,0.81,85.18,12.82,6.11,24.98,13.191,718
2020-04-26T00:00:00.000Z,16.17,195.88,48.15,37.97,56.87,19.314,695
2020-04-27T00:00:00.000Z,1.84,232.4,17.79,7.62,28.58,15.305,703
2020-04-28T00:00:00.000Z,2.84,368.93,17.52,7.54,66.65,56.918,715
2020-04-29T00:00:00.000Z,4.38,686,45.52,29.65,347.23,195.001,709
2020-04-30T00:00:00.000Z,5.83,367.65,51.45,22.08,76.06,70.212,644
2020-05-01T00:00:00.000Z,34.07,805.62,62.15,51.54,276.41,159.735,701
2020-05-02T00:00:00.000Z,10.53,512.47,56.75,50.36,127.79,102.9,719
2020-05-03T00:00:00.000Z,11.35,567.35,64.2,34.22,160.09,103.845,710
2020-05-04T00:00:00.000Z,3.04,252.48,27.74,8.76,64.09,39.629,706
2020-05-05T00:00:00.000Z,2.5,572.95,42.43,16.89,169.95,137.565,708
2020-05-06T00:00:00.000Z,2.46,534.73,41.8,13.56,141,116.808,703
2020-05-07T00:00:00.000Z,15.87,360,58.25,34.09,97.66,63.786,514
2020-05-08T00:00:00.000Z,21.42,539.53,123.5,93.07,161.63,103.722,485
2020-05-09T00:00:00.000Z,3.69,289.58,25.98,13.89,44.68,37.476,472
2020-05-10T00:00:00.000Z,1.45,144.18,32.99,9.83,50.6,29.1,340
2020-05-11T00:00:00.000Z,23.76,640.76,99.05,53.17,187.23,102.676,481
2020-05-12T00:00:00.000Z,9.78,538.36,63.84,43.09,142.78,105.352,684
2020-05-13T00:00:00.000Z,21.45,584.66,93.69,56.54,194.52,104.955,716
2020-05-14T00:00:00.000Z,12.73,527.8,57,45.05,128.35,96.815,711
2020-05-15T00:00:00.000Z,1.89,369.53,36.61,11.49,61.79,33.925,715
2020-05-16T00:00:00.000Z,1.77,385.68,33.61,12.96,50.61,67.875,708
2020-05-17T00:00:00.000Z,8.75,159.87,38.06,19.18,53.94,26.075,651
2020-05-18T00:00:00.000Z,17.82,533.16,56.56,45.21,90.7,104.234,659
2020-05-19T00:00:00.000Z,0.12,288.5,58.36,34.42,93.39,54.793,708
2020-05-20T00:00:00.000Z,27.55,450.65,74.98,55.22,177.11,78.8,687
2020-05-21T00:00:00.000Z,37.46,752.42,116.8,66.84,468.82,233.578,699
2020-05-22T00:00:00.000Z,14.47,723.74,153.41,87.4,330.49,176.153,717
2020-05-23T00:00:00.000Z,32.36,741.62,175.35,125.37,457.58,191.009,715
2020-05-24T00:00:00.000Z,3.39,491.3,71.61,30.31,168.15,106.099,707
2020-05-25T00:00:00.000Z,11.69,408.18,67.2,39.47,101.7,79.213,715
2020-05-26T00:00:00.000Z,8.78,521.83,49.31,30.83,156.96,123.773,714
2020-05-27T00:00:00.000Z,1.12,371.32,15.73,6.32,123.93,90.162,695
2020-05-28T00:00:00.000Z,2.12,143.96,14.8,8.85,21.96,20.177,715
2020-05-29T00:00:00.000Z,3.32,617,65.76,28.33,156.52,166.653,512
2020-05-30T00:00:00.000Z,12.31,729.7,63.47,48.57,183.35,187.381,602
2020-05-31T00:00:00.000Z,6.79,682.38,56.94,35.95,155.91,154.882,694
2020-06-01T00:00:00.000Z,63.7,801.08,221.45,147.69,379.87,171.671,639
2020-06-02T00:00:00.000Z,9.25,451.14,66.27,43.44,193.21,101.889,716
2020-06-03T00:00:00.000Z,5.01,1001.87,56.92,31.7,222.77,247.407,710
2020-06-04T00:00:00.000Z,4.88,669.55,135.97,29.14,333.82,177.461,714
2020-06-05T00:00:00.000Z,28.31,768.62,161.13,90.76,384.73,190.741,720
2020-06-06T00:00:00.000Z,24.03,675.48,101.05,57.02,274.58,170.747,717
2020-06-07T00:00:00.000Z,37.21,504.66,90.91,62.11,176.32,101.279,698
2020-06-08T00:00:00.000Z,1.8,666.77,60.22,21.99,166.55,107.916,672
