# Sensor SICAM_ Angol3-Huequén, Chile (Purple Air/96239)
# https://aqicn.org/station/@208981/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2021-09-07T00:00:00.000Z,2.8,353.3,47.75,28.6,94.1,58.669,322
2021-09-08T00:00:00.000Z,13,630,61.7,39.1,201.5,123.384,603
2021-09-09T00:00:00.000Z,4.7,224.9,33.15,22.45,46.6,27.691,608
2021-09-10T00:00:00.000Z,3.2,311.2,47,24.3,76,53.281,619
2021-09-11T00:00:00.000Z,13.6,423.8,45.15,33.9,116.2,88.261,626
2021-09-12T00:00:00.000Z,0.2,236.1,35.5,16,50,31.96,624
2021-09-13T00:00:00.000Z,6,436.5,58.7,43.7,101.5,57.945,606
2021-09-14T00:00:00.000Z,6,506.9,65.3,41,148.3,90.711,618
2021-09-15T00:00:00.000Z,1,399.5,47.05,23,84,56.325,638
2021-09-16T00:00:00.000Z,5.1,340.9,33.5,24.95,44.4,39.632,641
2021-09-17T00:00:00.000Z,0.6,438.8,32.45,17.7,49.8,41.029,594
2021-09-18T00:00:00.000Z,1.6,295.2,30.7,15.05,45.05,27.835,628
2021-09-19T00:00:00.000Z,0.7,139.1,23.8,15,36,16.911,618
2021-09-20T00:00:00.000Z,0.5,128.9,23.45,13.35,35.29,18.982,628
2021-09-21T00:00:00.000Z,6,164,22.3,14.4,33.4,23.325,638
2021-09-22T00:00:00.000Z,12.4,238.8,30.3,21.7,40.65,24.78,612
2021-09-23T00:00:00.000Z,5,330.9,37,25.3,52.7,37.2,615
2021-09-24T00:00:00.000Z,6.4,168.2,23.6,13.2,35.95,23.078,593
2021-09-25T00:00:00.000Z,3.4,213.5,31.95,18.2,47.8,25.487,614
2021-09-26T00:00:00.000Z,0.9,201.9,24.6,13,40.1,36.884,598
2021-09-27T00:00:00.000Z,2.6,146.7,27.5,14.5,43.9,21.914,627
2021-09-28T00:00:00.000Z,0.8,223.6,20.9,10,40.29,35.439,611
2021-09-29T00:00:00.000Z,1.4,256.6,35.3,25.5,52.3,26.527,591
2021-09-30T00:00:00.000Z,4.5,560.8,38.7,24.3,56.6,48.998,599
2021-10-01T00:00:00.000Z,6.3,350.9,53,24.8,92.8,70.067,622
2021-10-02T00:00:00.000Z,1.1,288.8,37,27.2,49.5,31.141,629
2021-10-03T00:00:00.000Z,0.8,171.5,21,9.9,35.45,23.749,609
2021-10-04T00:00:00.000Z,0.3,77.1,15.6,8.9,25.1,12.728,615
2021-10-05T00:00:00.000Z,0.3,110.1,16.14,8.7,25.95,14.68,608
2021-10-06T00:00:00.000Z,2.3,70.3,11.7,7,21.8,12.773,598
2021-10-07T00:00:00.000Z,0.7,48.4,7.8,4.2,14.9,9.185,606
2021-10-08T00:00:00.000Z,5.9,111.3,22.5,13.1,34.04,16.459,592
2021-10-09T00:00:00.000Z,7.3,44.9,15.2,12.2,21.4,6.677,610
2021-10-10T00:00:00.000Z,13.7,139.1,37.29,32.5,43.1,13.255,599
2021-10-11T00:00:00.000Z,1.6,318.7,21.3,13.6,30.45,21.379,605
2021-10-12T00:00:00.000Z,11.9,202.5,32.95,24.8,44.75,25.433,604
2021-10-13T00:00:00.000Z,9.4,266.6,34.2,26.95,55.45,34.603,625
2021-10-14T00:00:00.000Z,1.4,264.8,37.9,22.5,57.2,29.452,618
2021-10-15T00:00:00.000Z,1,491.2,35.1,19.89,89,87.064,623
2021-10-16T00:00:00.000Z,2.5,148.4,22.9,12.6,38.1,25.389,622
2021-10-17T00:00:00.000Z,1.3,124.8,11.25,5.8,34.7,19.874,452
2021-10-18T00:00:00.000Z,1,53,7.1,3.5,16.1,11.991,622
2021-10-19T00:00:00.000Z,0.2,138.6,5.7,3,10.9,10.482,610
2021-10-20T00:00:00.000Z,1.8,105.8,23.2,6.5,34.45,17.006,604
2021-10-21T00:00:00.000Z,0.5,157.7,18.3,9.69,32.5,20.048,630
2021-10-22T00:00:00.000Z,1.2,141.4,23.3,14.1,35,18.749,638
2021-10-23T00:00:00.000Z,0.7,133.4,12.7,6.5,24.7,15.513,619
2021-10-24T00:00:00.000Z,0,111.9,24.45,4.55,38.45,19.37,620
2021-10-25T00:00:00.000Z,0.4,101.6,5.7,2.7,12.2,10.035,603
2021-10-26T00:00:00.000Z,0.7,76.9,5.4,3.35,9,7.926,588
2021-10-27T00:00:00.000Z,1.1,64.2,6.7,4.3,12.2,8.233,595
2021-10-28T00:00:00.000Z,2.9,66.8,12.1,6.1,26.3,13.147,615
2021-10-29T00:00:00.000Z,7.6,61.9,22.4,9,50,19.217,7
2021-10-31T00:00:00.000Z,3.6,45.8,10.7,6.75,15.05,6.979,588
2021-11-01T00:00:00.000Z,5.1,53.8,11.8,9,16.89,7.369,601
2021-11-02T00:00:00.000Z,0.6,47.6,6.2,4.4,8.6,5.112,618
2021-11-03T00:00:00.000Z,2.2,109.7,18,9.85,33.04,18.429,613
2021-11-04T00:00:00.000Z,0.7,159.9,12.1,6.2,36.7,26.935,619
2021-11-05T00:00:00.000Z,0,36,3.4,1.4,6.2,4.452,572
2021-11-06T00:00:00.000Z,1.9,45.5,9.5,5.3,12.9,7.575,587
