# Sensor SICAM_ Liceo Talagante B, Chile (Purple Air/95085)
# https://aqicn.org/station/@206944/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2021-09-07T00:00:00.000Z,0,71.3,7.8,1.25,18.8,11.559,173
2021-09-08T00:00:00.000Z,11.6,64,17.89,15.4,34.4,12.505,306
2021-09-09T00:00:00.000Z,13.2,96,45.7,35.29,49.2,13.291,535
2021-09-10T00:00:00.000Z,19.7,113.4,41.6,37.79,49.9,10.425,568
2021-09-11T00:00:00.000Z,10,65.6,40.5,29.05,44.1,11.313,624
2021-09-12T00:00:00.000Z,0,47.4,5.35,2.4,9.2,10.885,556
2021-09-13T00:00:00.000Z,0,69.7,8,3.1,19.2,11.544,566
2021-09-14T00:00:00.000Z,3.7,120.3,43.1,8.69,56.85,31.349,589
2021-09-15T00:00:00.000Z,6.1,105.6,40.4,24.95,44.7,13.096,512
2021-09-16T00:00:00.000Z,5.3,62.9,39.2,32.9,47.1,14.555,418
2021-09-17T00:00:00.000Z,6.9,54.4,22.2,17.85,29.8,7.774,517
2021-09-18T00:00:00.000Z,7.4,89.9,33.2,21.7,38.4,10.586,606
2021-09-19T00:00:00.000Z,5.3,53.4,18.8,12.7,22.6,9.084,612
2021-09-20T00:00:00.000Z,3.9,29.8,9.8,6,16.2,7.592,597
2021-09-21T00:00:00.000Z,10.9,50.2,31.9,23.7,36.8,9.152,570
2021-09-22T00:00:00.000Z,5.2,28.2,14.1,12.3,18.8,4.926,586
2021-09-23T00:00:00.000Z,8.3,53.3,30.4,15.7,39.3,11.907,587
2021-09-24T00:00:00.000Z,13.8,78,36,31.65,41.1,8.087,592
2021-09-25T00:00:00.000Z,6.6,39.1,31.9,18.95,35.8,10.636,617
2021-09-26T00:00:00.000Z,6.1,43.2,25.65,13.8,30.2,9.322,564
2021-09-27T00:00:00.000Z,2,34.4,10.4,7.4,19,6.647,522
2021-09-28T00:00:00.000Z,2.8,41.6,14.2,6.8,29.2,11.386,498
2021-09-29T00:00:00.000Z,0.4,45.3,14.9,6.05,22.95,10.718,520
2021-09-30T00:00:00.000Z,0,27.2,2.7,1,5.95,5.457,541
2021-10-01T00:00:00.000Z,0.6,32.2,6.7,2.6,11.7,6.722,592
2021-10-02T00:00:00.000Z,0.3,51.8,2.6,1.8,4.4,6.744,562
2021-10-03T00:00:00.000Z,2.1,37.6,8.5,5.6,11.3,5.173,579
2021-10-04T00:00:00.000Z,2.3,41.1,15.25,10,19.5,7.837,556
2021-10-05T00:00:00.000Z,3.4,57.1,9.69,6,18.2,8.624,566
2021-10-06T00:00:00.000Z,2.7,43.3,18.3,9.19,22.1,10.855,544
2021-10-07T00:00:00.000Z,3.5,26.2,9,7.15,11.35,4.632,541
2021-10-08T00:00:00.000Z,1.2,84.6,12.4,5.8,18.7,11.873,562
2021-10-09T00:00:00.000Z,2.1,41.9,20.7,10.1,26.8,9.48,575
2021-10-10T00:00:00.000Z,3.8,24.3,7.6,6.2,10.4,3.04,513
2021-10-11T00:00:00.000Z,8.6,44.7,25.95,18.55,30.6,8.988,584
2021-10-12T00:00:00.000Z,6.3,34.5,22.4,15.1,30.2,8.278,582
2021-10-13T00:00:00.000Z,0.4,30.4,4.4,1.6,6.7,5.162,492
2021-10-14T00:00:00.000Z,0,13.7,2.45,0.6,4.7,2.234,532
2021-10-15T00:00:00.000Z,0.1,43.2,13.2,5,31.2,13.148,591
2021-10-16T00:00:00.000Z,1.6,66.7,12.8,7.7,31,14.826,571
2021-10-17T00:00:00.000Z,1.4,30.1,10,5.7,15.5,6.343,567
2021-10-18T00:00:00.000Z,0.4,30.2,10.3,4.2,14.9,6.741,596
2021-10-19T00:00:00.000Z,4,35.1,15.8,12.6,22.5,7.068,613
2021-10-20T00:00:00.000Z,14.5,32.6,23.8,21.3,25.5,2.954,583
2021-10-21T00:00:00.000Z,12.9,46.4,27.55,19.6,33.2,8.643,598
2021-10-22T00:00:00.000Z,3.5,40,21.2,14.8,27.2,8.746,576
2021-10-23T00:00:00.000Z,2.3,43.2,7.2,4.8,9.8,6.626,580
2021-10-24T00:00:00.000Z,1.6,50.1,9,4.5,17.8,7.74,576
2021-10-25T00:00:00.000Z,0.3,49.1,5.4,1.7,15.1,10.738,594
2021-10-26T00:00:00.000Z,2.5,18.9,9.44,6.3,11.3,3.137,598
2021-10-27T00:00:00.000Z,4.9,42.3,20.7,9.4,25.85,9.211,569
2021-10-28T00:00:00.000Z,7.7,36.5,24.6,14.6,28.2,7.499,463
2021-10-29T00:00:00.000Z,12.7,34.4,27.5,22.9,28.95,4.774,89
2021-11-02T00:00:00.000Z,9.6,39.9,24.4,13.95,31.1,8.79,249
2021-11-03T00:00:00.000Z,0.7,26.7,18.1,13.4,21.15,7.455,517
2021-11-04T00:00:00.000Z,0.7,16.6,7.35,4.8,10.3,3.613,304
2021-11-05T00:00:00.000Z,1.5,64.7,4.09,3.1,7,11.869,318
2021-11-06T00:00:00.000Z,2.3,25.9,5.5,4.5,9,3.459,557
2022-02-24T00:00:00.000Z,1.4,24.5,5.9,3.5,9.6,4.164,206
2022-02-25T00:00:00.000Z,8.3,42.2,20.85,12.1,27.9,8.367,612
2022-02-26T00:00:00.000Z,0.7,25,14.2,7.85,17.6,6.32,628
2022-02-27T00:00:00.000Z,0.2,21.2,2.5,1.4,4.1,2.443,582
2022-02-28T00:00:00.000Z,0.4,14.1,3.5,2.5,5,2.29,525
2022-03-01T00:00:00.000Z,3.9,47.2,23.9,13.5,33.4,11.289,532
2022-03-02T00:00:00.000Z,3.7,33.6,11.75,8.8,14.7,4.511,606
2022-03-03T00:00:00.000Z,3.4,36.3,14.5,9.1,18.7,7.771,526
2022-03-04T00:00:00.000Z,5.5,31.8,11.2,9.1,22.2,8.1,326
2022-03-05T00:00:00.000Z,0.1,16.5,5.2,3.6,7.4,2.825,593
2022-03-06T00:00:00.000Z,0.1,28,4.2,2.4,5.7,3.678,588
2022-03-07T00:00:00.000Z,0,40.6,3.4,2,6.35,5.734,524
2022-03-08T00:00:00.000Z,0.3,31.3,3.4,2.54,4.59,4.24,580
2022-03-09T00:00:00.000Z,1,24.4,5.85,3.2,9.8,5.005,590
2022-03-10T00:00:00.000Z,1.9,38.7,8.69,5.8,11.9,5.285,563
2022-03-11T00:00:00.000Z,3.1,44.8,16.39,8.85,22,9.112,585
2022-03-12T00:00:00.000Z,14.4,59.3,36.29,22.5,39.7,9.219,599
2022-03-13T00:00:00.000Z,16,60.1,24,20.5,28,6.458,606
2022-03-14T00:00:00.000Z,20.2,94.8,41.6,32,45.15,10.18,596
2022-03-15T00:00:00.000Z,22,47.9,36.7,29.6,40.54,6.204,577
2022-03-16T00:00:00.000Z,17.5,39.1,31.2,29.1,34.4,4.612,599
2022-03-17T00:00:00.000Z,22.6,39.3,29.5,27.1,32.4,3.67,591
2022-03-18T00:00:00.000Z,6.6,49.2,23.9,16.2,31.1,10.332,574
2022-03-19T00:00:00.000Z,8,43.5,23.6,16.89,29.9,8.218,603
2022-03-20T00:00:00.000Z,1.1,77.2,35.45,24.45,41.7,13.257,432
2022-03-21T00:00:00.000Z,1,22.7,4.9,3.1,7.6,3.573,448
2022-03-22T00:00:00.000Z,2.5,58.3,8.4,5.8,12.3,7.695,571
2022-03-23T00:00:00.000Z,0.2,22.9,4.8,2.3,6.4,3.049,548
2022-03-24T00:00:00.000Z,1.1,31.1,5.6,3.4,9.69,4.354,578
2022-03-25T00:00:00.000Z,5.8,106.5,16.4,11.4,31.4,13.271,585
2022-03-26T00:00:00.000Z,9,73,24.6,18.7,32.25,10.393,609
2022-03-27T00:00:00.000Z,4.4,55.1,25.9,15.4,31.1,11.016,607
2022-03-28T00:00:00.000Z,3.9,41.6,13,9.8,20.5,7.859,601
2022-03-29T00:00:00.000Z,3.5,36.3,8.9,7.3,10.55,6.833,521
2022-03-30T00:00:00.000Z,0.3,35.8,5.3,3.2,9.8,5.765,516
2022-03-31T00:00:00.000Z,1.5,39.4,12.8,9.55,17.39,8.026,517
2022-04-01T00:00:00.000Z,6.7,187,29.85,24.2,36.79,16.602,602
2022-04-02T00:00:00.000Z,18.6,91.9,38.6,29.2,45.2,10.699,613
2022-04-03T00:00:00.000Z,1.2,33.7,16.39,12.9,20.9,6.64,596
2022-04-04T00:00:00.000Z,4.1,33,10,7.4,16.2,6.367,559
2022-04-05T00:00:00.000Z,5.9,44.8,14.75,11.5,26.8,8.958,600
2022-04-06T00:00:00.000Z,7.4,67.8,14.7,12.2,30,14.586,591
2022-04-07T00:00:00.000Z,9.1,46.5,27.9,19.89,34.7,9.966,606
2022-04-08T00:00:00.000Z,9.2,64.6,25.75,18.35,31.55,8.976,592
2022-04-09T00:00:00.000Z,1.1,38.9,22.8,17.5,26.9,9.446,571
2022-04-10T00:00:00.000Z,0.6,45.2,14.75,6.1,20,8.786,598
2022-04-11T00:00:00.000Z,0.9,38.1,7.3,5.09,9.65,5.507,592
2022-04-12T00:00:00.000Z,4.8,37.8,9.8,7.7,13.1,5.031,599
2022-04-13T00:00:00.000Z,4.7,41.5,22.05,16.8,28.6,8.545,586
2022-04-14T00:00:00.000Z,12.6,51.2,24.1,19.6,30.9,7.531,569
2022-04-15T00:00:00.000Z,13.8,49.4,25.1,22.8,28.4,5.506,615
2022-04-16T00:00:00.000Z,31.1,126.4,56.1,46.85,62.75,13.887,624
2022-04-17T00:00:00.000Z,35.5,135.5,47.5,41.5,50.6,9.47,539
2022-04-18T00:00:00.000Z,29.2,56.6,41.4,38.75,43.9,5.484,532
2022-04-19T00:00:00.000Z,13.2,55.1,40.25,37.29,43.9,6.586,590
2022-04-20T00:00:00.000Z,4.2,74.8,30.5,20.5,38.15,13.318,592
2022-04-21T00:00:00.000Z,9.3,60.9,30.7,25.5,38.2,9.148,569
2022-04-22T00:00:00.000Z,1,93.7,29.65,23.9,39.85,13.527,608
2022-04-23T00:00:00.000Z,1.7,108.3,40.7,21.45,46.6,18.562,609
2022-04-24T00:00:00.000Z,0.6,49.9,12.6,4.4,20.5,9.799,607
2022-04-25T00:00:00.000Z,0.1,44.9,3.1,1.8,8.6,8.785,608
2022-04-26T00:00:00.000Z,0,92,7.4,3.8,12.6,8.25,599
2022-04-27T00:00:00.000Z,0,85.2,7.6,4.84,13.25,12.441,580
2022-04-28T00:00:00.000Z,27.2,86,46.5,41,53.9,10.714,606
2022-04-29T00:00:00.000Z,9.6,263.3,49.1,41.3,67.05,24.054,601
2022-04-30T00:00:00.000Z,18.8,228.1,44.6,38.7,49.7,13.575,595
2022-05-01T00:00:00.000Z,20.6,116.1,51.9,43.4,66.5,17.607,606
2022-05-02T00:00:00.000Z,23.2,112.4,39.29,35.5,42.4,9.254,612
2022-05-03T00:00:00.000Z,36.2,229.4,51.2,46.95,65.3,15.847,613
2022-05-04T00:00:00.000Z,36.5,89.7,48.7,45.7,53.1,9.403,601
2022-05-05T00:00:00.000Z,46.6,78.6,52,49.6,54.4,3.708,586
2022-05-06T00:00:00.000Z,47.7,134.5,83.3,73.95,89.5,16.825,612
2022-05-07T00:00:00.000Z,52,162.2,80.45,64.8,94.9,18.745,612
2022-05-08T00:00:00.000Z,33.9,105.1,41.2,38,47.2,9.932,603
2022-05-09T00:00:00.000Z,46.3,118.9,72.05,58.8,78.09,13.321,610
2022-05-10T00:00:00.000Z,39.4,131.9,80.5,67.9,92.65,20.18,608
2022-05-11T00:00:00.000Z,46.3,111.3,65.8,59.65,72,10.362,617
2022-05-12T00:00:00.000Z,50,91.7,65.4,57.6,72.05,8.884,605
2022-05-13T00:00:00.000Z,30.1,118,87.3,72.9,94.8,18.192,611
2022-05-14T00:00:00.000Z,38.9,104.9,65.75,55.85,73.8,13.997,604
2022-05-15T00:00:00.000Z,38.2,257.7,105.5,57.4,130.3,40.373,615
2022-05-16T00:00:00.000Z,51,93.2,59.25,56.75,63.5,6.692,612
2022-05-17T00:00:00.000Z,55.6,185.3,76.65,66.09,94.8,18.665,582
2022-05-18T00:00:00.000Z,53.7,118.2,65.9,62.8,71.3,8.96,629
2022-05-19T00:00:00.000Z,18.8,91.4,53.5,29.5,58.2,16.152,621
2022-05-20T00:00:00.000Z,1.5,108.2,54,16.39,65.3,29.507,622
2022-05-21T00:00:00.000Z,27.8,144.2,49.6,44.3,66.05,15.891,593
2022-05-22T00:00:00.000Z,28.5,275.8,62.2,38.79,96.65,32.305,617
2022-05-23T00:00:00.000Z,6.6,104.6,32.4,23.1,42.6,13.661,622
