# Sensor Swiss-ex.15, Santiago, Chile (Purple Air/120221)
# https://aqicn.org/station/@351889/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2022-08-18T00:00:00.000Z,2.7,67,16.3,6.1,58.1,23.574,147
2022-08-19T00:00:00.000Z,28.5,86.9,46.3,41.05,55.5,13.493,660
2022-08-20T00:00:00.000Z,10.6,76.7,46.5,33.2,55.5,14.297,647
2022-08-21T00:00:00.000Z,29.9,88.2,46.3,42.7,52.4,13.509,643
2022-08-22T00:00:00.000Z,38.1,83,46.1,41.9,67.59,14.161,637
2022-08-23T00:00:00.000Z,65.6,96.8,79.5,73.1,86.65,7.383,661
2022-08-24T00:00:00.000Z,22.9,151.3,82.3,76.4,96.1,22.961,667
2022-08-25T00:00:00.000Z,43.8,122.4,57.6,54.1,73.09,20.867,645
2022-08-26T00:00:00.000Z,45,99.5,65.3,57,73.7,10.493,672
2022-08-27T00:00:00.000Z,17.5,105.9,59.8,51.1,72.4,22.93,663
2022-08-28T00:00:00.000Z,28.8,93.6,48.25,41.8,56.8,14.208,650
2022-08-29T00:00:00.000Z,1.8,74.9,32.6,20.75,40.2,16.753,624
2022-08-30T00:00:00.000Z,37.4,79.9,49,43.6,54.5,9.889,643
2022-08-31T00:00:00.000Z,28.6,58.8,44.35,38.1,50.2,7.218,648
2022-09-01T00:00:00.000Z,29.9,63.5,43.5,38.6,49.45,8.387,640
2022-09-02T00:00:00.000Z,42.8,86.9,57.7,52.65,63.05,8.787,637
2022-09-03T00:00:00.000Z,27.1,85.4,44.2,38.1,55.1,12.172,659
2022-09-04T00:00:00.000Z,30,73.3,44.4,38.29,50.9,7.974,646
2022-09-05T00:00:00.000Z,25.2,59.7,39.4,35.6,47.5,6.893,654
2022-09-06T00:00:00.000Z,30.1,69,41.15,36.9,46.6,7.665,634
2022-09-07T00:00:00.000Z,6.9,51.1,34.5,24.7,41.7,10.772,627
2022-09-08T00:00:00.000Z,0,30.6,6.85,1.3,9.8,6.323,382
2022-09-22T00:00:00.000Z,38,38,38,38,38,0,1
