# Sensor Villa Los Acacios, Los Andes, Chile (Citizen Science project sensor.community/50711)
# https://aqicn.org/station/@169573/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-10-15T00:00:00.000Z,2.2,6.43,3.15,2.8,3.83,1.076,66
2020-10-16T00:00:00.000Z,1.77,7.37,2.95,2.37,3.92,1.229,422
2020-10-17T00:00:00.000Z,2.22,7.3,5.47,4,6.28,1.311,421
2020-10-18T00:00:00.000Z,1.4,3.88,2.5,2.13,2.9,0.525,433
2020-10-19T00:00:00.000Z,0.8,3.9,2.33,2,2.65,0.625,428
2020-10-20T00:00:00.000Z,0.6,3.4,1.08,0.9,1.5,0.458,295
2020-10-23T00:00:00.000Z,3.05,15.05,4.45,3.83,6.6,2.407,67
2020-10-24T00:00:00.000Z,2.2,264,9.85,4.58,13.12,25.654,421
2020-10-25T00:00:00.000Z,0.56,43.4,2.29,1.6,3.12,3.096,465
2020-10-26T00:00:00.000Z,0.6,37.42,3.39,1.88,5.29,4.673,472
2020-10-27T00:00:00.000Z,1.73,8.68,3.8,3.09,4.71,1.163,445
2020-10-28T00:00:00.000Z,1.6,24.95,4.57,3.92,5.6,1.572,463
2020-10-29T00:00:00.000Z,0.6,12.48,3.33,2.4,4.09,1.455,460
2020-10-30T00:00:00.000Z,2.47,13.07,3.45,2.96,3.88,1.209,89
2020-10-31T00:00:00.000Z,3.4,20.5,7.75,5.17,8.56,3.382,37
2020-11-01T00:00:00.000Z,1.67,130.5,12.3,6.17,16.37,14.408,477
2020-11-02T00:00:00.000Z,6.68,24.48,14.65,9.86,19.55,5.213,45
2020-11-10T00:00:00.000Z,1.25,1.6,1.43,1.25,1.6,0.175,2
