# Sensor house 1, Macul, Chile (Purple Air/36449)
# https://aqicn.org/station/@42979/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-09-18T00:00:00.000Z,9.51,63.61,19.93,12.57,38.2,14.124,136
2019-09-19T00:00:00.000Z,0.37,15.69,2.92,1.7,5.18,2.934,625
2019-09-20T00:00:00.000Z,1.57,23.32,5.19,4,6.85,2.396,715
2019-09-21T00:00:00.000Z,3,13.28,5.82,4.54,7.48,2.09,714
2019-09-22T00:00:00.000Z,4.11,36.94,8.32,6.76,11.73,3.088,715
2019-09-23T00:00:00.000Z,7.18,41.92,13.04,9.46,18.91,6.499,711
2019-09-24T00:00:00.000Z,11.81,36.67,16.32,14.05,22.24,5.384,716
2019-09-25T00:00:00.000Z,15.22,37.63,23.11,20.03,26.51,4.121,715
2019-09-26T00:00:00.000Z,7.39,25.51,15.53,11.15,19.61,4.464,712
2019-09-27T00:00:00.000Z,3.9,32.2,10.5,6,15.86,5.003,698
2019-09-28T00:00:00.000Z,11,33.18,15.4,13.35,18.62,3.185,706
2019-09-29T00:00:00.000Z,5.07,49.29,14.01,12.85,15.17,5.552,719
2019-09-30T00:00:00.000Z,0.12,23.28,2,1.03,4.84,3.204,707
2019-10-01T00:00:00.000Z,0.35,27.91,2.36,1.44,3.23,2.007,716
2019-10-02T00:00:00.000Z,0.07,21.1,1.82,1.14,3.69,2.483,708
2019-10-03T00:00:00.000Z,2.69,21.66,7.19,6.1,8.72,2.64,644
2019-10-04T00:00:00.000Z,4.37,35.06,7.47,6.07,15.22,7.395,715
2019-10-05T00:00:00.000Z,4.58,17.84,7.71,6.3,10.65,2.388,717
2019-10-06T00:00:00.000Z,2.47,19.2,9.36,7.7,10.81,3.192,715
2019-10-07T00:00:00.000Z,1.28,35.29,5.6,3.87,8.65,5.442,718
2019-10-08T00:00:00.000Z,3.59,38.13,9.83,8.05,21.17,8.697,713
2019-10-09T00:00:00.000Z,6.85,20.1,11.77,10.75,13.56,2.432,712
2019-10-10T00:00:00.000Z,6.78,10.15,8.07,7.75,8.58,0.759,54
2019-10-11T00:00:00.000Z,15.06,21.31,17.77,17.04,18.63,1.215,216
2019-10-12T00:00:00.000Z,10.97,26.19,16.69,14.64,19.39,3.443,716
2019-10-13T00:00:00.000Z,7.53,33.13,15.57,13.32,26.6,7.122,694
2019-10-14T00:00:00.000Z,7.65,49.09,16.98,11.55,19.3,7.886,712
2019-10-15T00:00:00.000Z,6.32,16.72,9.06,8.1,10.84,2.408,703
2019-10-16T00:00:00.000Z,6.18,18.89,9.13,7.9,13.6,3.041,713
2019-10-17T00:00:00.000Z,2.64,20.59,5.66,4.09,10.29,3.581,713
2019-10-18T00:00:00.000Z,5.28,35.15,10.65,8.98,14.81,4.752,712
2019-10-19T00:00:00.000Z,5.19,12.74,9.49,8.28,10.35,1.352,716
2019-10-20T00:00:00.000Z,1.3,10.09,3.65,3.04,4.86,1.365,711
2019-10-21T00:00:00.000Z,1.8,29.86,4.7,4.16,5.71,2.009,710
2019-10-22T00:00:00.000Z,1.57,44.82,3.58,2.92,5.22,6.534,711
2019-10-23T00:00:00.000Z,1.88,15.13,5.52,3.61,8.05,2.609,685
2019-10-24T00:00:00.000Z,4.37,23.83,7.75,5.63,9.61,2.572,604
2019-10-25T00:00:00.000Z,2.98,7.23,4.97,4.04,6,1.072,718
2019-10-26T00:00:00.000Z,1.74,7.67,5.2,4.59,5.86,1.274,717
2019-10-27T00:00:00.000Z,1.26,42.69,3.51,2.71,11.97,11.164,749
2019-10-28T00:00:00.000Z,0,25.06,3.48,1.41,7.19,3.893,715
2019-10-29T00:00:00.000Z,0,25.38,1.55,0.75,2.83,2.055,719
2019-10-30T00:00:00.000Z,0.24,15.55,2.5,1.33,4.24,2.091,715
2019-10-31T00:00:00.000Z,1.29,31.28,3.49,3.07,4.09,2.043,717
2019-11-01T00:00:00.000Z,0.21,43.42,2.33,1.59,5.34,6.82,718
2019-11-02T00:00:00.000Z,0.81,24.45,4.26,3.16,6.13,3.402,719
2019-11-03T00:00:00.000Z,1.12,28.06,3,2.59,5.48,2.213,718
2019-11-04T00:00:00.000Z,0.34,52.94,5.61,1.75,8.44,7.755,720
2019-11-05T00:00:00.000Z,0.81,31.55,5.04,2.99,7.05,4.075,716
2019-11-06T00:00:00.000Z,0.01,22.88,2.24,1.76,4.23,2.299,717
2019-11-07T00:00:00.000Z,0.63,19.63,3.61,2.06,6.72,3.492,719
2019-11-08T00:00:00.000Z,2.42,6.94,4.24,3.88,4.59,0.583,719
2019-11-09T00:00:00.000Z,0.47,13.44,5.04,3.49,6.54,2.429,719
2019-11-10T00:00:00.000Z,2,26.5,4.7,3.7,6.39,2.875,716
2019-11-11T00:00:00.000Z,3.13,38.34,8.74,5.63,11.54,3.824,713
2019-11-12T00:00:00.000Z,4.99,44.94,9.32,7.58,11.81,4.869,716
2019-11-13T00:00:00.000Z,2.42,16.57,7.45,5.46,9.94,3.104,720
2019-11-14T00:00:00.000Z,2.83,32.15,5.68,4.65,7.64,3.971,680
2019-11-15T00:00:00.000Z,0.16,10.5,4.75,3.42,6.94,2.332,718
2019-11-16T00:00:00.000Z,0,18.63,2.45,1.19,3.86,2.802,719
2019-11-17T00:00:00.000Z,0.74,15.43,3.76,2.33,6.97,3.581,720
2019-11-18T00:00:00.000Z,2.78,24.44,5.87,4.47,7.41,2.386,721
2019-11-19T00:00:00.000Z,3.33,43.42,5.56,4.79,7.14,4.415,577
2019-11-20T00:00:00.000Z,1.59,19.59,4.41,3.03,5.94,2.005,718
2019-11-21T00:00:00.000Z,1.61,39.36,5.09,3.87,6.35,3.294,714
2019-11-22T00:00:00.000Z,3.15,66.47,7.07,4.84,9.97,6.596,712
2019-11-23T00:00:00.000Z,3.61,12.41,6.87,5.84,9.24,2.033,718
2019-11-24T00:00:00.000Z,3.12,15.39,5.85,4.66,7.69,2.33,717
2019-11-25T00:00:00.000Z,0.88,20.46,3.94,2.76,6.06,2.704,714
2019-11-26T00:00:00.000Z,0.1,24.99,2.38,1.17,4.04,2.918,590
2019-11-27T00:00:00.000Z,0.34,21.77,2.38,1.61,3.74,2.977,730
2019-11-28T00:00:00.000Z,0.72,24.83,2.71,2.17,3.78,2.747,699
2019-11-29T00:00:00.000Z,0.59,9.9,1.87,1.39,2.65,1.437,715
2019-11-30T00:00:00.000Z,0.84,102.03,4.63,3.43,6.21,8.137,714
2019-12-01T00:00:00.000Z,3.01,45.64,5.97,5.14,7.43,4.326,718
2019-12-02T00:00:00.000Z,4.91,13.62,7.84,7.09,8.94,1.361,715
2019-12-03T00:00:00.000Z,1.46,57.57,4.24,3.21,6.88,6.01,711
2019-12-04T00:00:00.000Z,0.91,9.77,3.64,2.66,5.72,2.016,715
2019-12-05T00:00:00.000Z,2.04,28.55,5.33,3.68,7.67,3.33,712
2019-12-06T00:00:00.000Z,1.55,15.9,4.53,3.03,6.68,2.599,715
2019-12-07T00:00:00.000Z,2.73,18.69,6.16,4.36,7.46,1.977,718
2019-12-08T00:00:00.000Z,3.75,29.07,8.84,7,14.83,4.826,719
2019-12-09T00:00:00.000Z,3.48,32.39,8.19,6.26,9.96,3.518,667
2019-12-10T00:00:00.000Z,1.09,27.4,5.13,2.6,7.97,3.047,716
2019-12-11T00:00:00.000Z,0.87,8.49,4.61,3.28,5.93,1.676,708
2019-12-12T00:00:00.000Z,1.35,27.03,3.53,2.63,4.47,1.92,700
2019-12-13T00:00:00.000Z,1.41,8.41,3.25,2.76,4.12,1.123,711
2019-12-14T00:00:00.000Z,1.48,73.72,4.83,3.01,8.94,10.168,719
2019-12-15T00:00:00.000Z,0.76,39.9,4.19,2.59,5.77,3.73,711
2019-12-16T00:00:00.000Z,1.8,28.33,4.32,3.71,5.11,3.709,713
2019-12-17T00:00:00.000Z,1.61,9.53,4.34,3.44,5.09,1.178,707
2019-12-18T00:00:00.000Z,0.06,15.76,6.21,5.04,8.09,2.654,600
2019-12-19T00:00:00.000Z,0.99,9.66,4.22,2.39,5.66,1.945,707
2019-12-20T00:00:00.000Z,0.68,31.66,3,2.22,4.19,5.747,709
2019-12-21T00:00:00.000Z,0.84,5.38,2.41,1.97,2.94,0.81,691
2019-12-22T00:00:00.000Z,0.21,6.63,2.61,1.95,3.75,1.227,714
2019-12-23T00:00:00.000Z,0.91,11.51,2.57,2.06,3.64,1.944,684
2019-12-24T00:00:00.000Z,1,12.07,3.03,2.12,5.54,2.746,673
2019-12-25T00:00:00.000Z,0.18,24.99,2.94,1.82,3.99,2.055,709
2019-12-26T00:00:00.000Z,0.6,22.65,2.64,2,3.29,2.861,709
2019-12-27T00:00:00.000Z,2.34,30.96,6.47,4.8,10.39,6.053,709
2019-12-28T00:00:00.000Z,1.37,22.72,4.79,3.61,6.85,2.669,714
2019-12-29T00:00:00.000Z,1.67,12.36,4.05,3.07,5.77,1.869,719
2019-12-30T00:00:00.000Z,1.14,27.77,3.19,2.4,8.16,3.317,720
2019-12-31T00:00:00.000Z,1.34,8.58,2.99,2.41,5.07,1.817,453
2020-01-03T00:00:00.000Z,3.54,22.03,10.64,4.54,11.73,3.806,54
2020-01-04T00:00:00.000Z,1.43,49.84,8.46,5.45,13.35,4.634,651
2020-01-05T00:00:00.000Z,5.12,39.72,18.46,7.83,22.57,7.79,695
2020-01-06T00:00:00.000Z,3.59,36.35,8.85,6.2,10.25,3.361,672
2020-01-07T00:00:00.000Z,2.88,51.07,7.77,6.33,9.76,3.869,667
2020-01-08T00:00:00.000Z,1.39,22.04,3.85,2.87,5.05,1.907,636
2020-01-09T00:00:00.000Z,1.14,11.26,3.7,2.4,4.41,1.233,656
2020-01-10T00:00:00.000Z,2,11.03,4.11,3.55,5.05,1.372,560
2020-01-11T00:00:00.000Z,3.51,26.12,5.39,4.79,6.36,2.151,682
2020-01-12T00:00:00.000Z,3.44,17.7,8.41,7.27,10.01,2.347,692
2020-01-13T00:00:00.000Z,5.53,15.28,9.82,8.86,10.94,1.587,654
2020-01-14T00:00:00.000Z,5.6,17.44,9.57,7.54,11.66,2.403,598
2020-01-15T00:00:00.000Z,0.63,9.59,2.64,1.84,3.79,1.812,606
2020-01-16T00:00:00.000Z,2.49,27.98,7.63,6.5,9.27,5.487,655
2020-01-17T00:00:00.000Z,3.93,18.79,7.38,6.33,8.8,1.885,660
2020-01-18T00:00:00.000Z,3.54,23.78,8,5.46,13.47,4.402,690
2020-01-19T00:00:00.000Z,7.24,27.73,12.32,10.65,13.53,2.32,698
2020-01-20T00:00:00.000Z,6,26.06,11.9,9.03,15.35,3.872,667
2020-01-21T00:00:00.000Z,6.57,42.48,13.05,11.01,15.44,3.03,622
2020-01-22T00:00:00.000Z,7.13,9.52,8.38,8.1,8.9,0.593,35
2020-01-23T00:00:00.000Z,5.54,11.14,7.29,6.7,7.91,0.927,126
2020-01-24T00:00:00.000Z,3.23,24.35,9.15,6.72,16.7,5.688,406
2020-01-25T00:00:00.000Z,4.8,404.84,11.1,6.96,38.85,55.237,447
2020-01-26T00:00:00.000Z,3.18,62.82,11.73,9.02,17.52,9.906,472
2020-01-27T00:00:00.000Z,2,69.68,3.97,3.51,5.96,4.062,375
2020-01-28T00:00:00.000Z,1.31,46.22,6.33,4.63,20.79,13.507,397
2020-01-29T00:00:00.000Z,0.07,14.4,2.71,1.08,9.31,4.072,456
2020-01-30T00:00:00.000Z,3.16,12.68,6.45,5.41,7.6,1.606,432
2020-01-31T00:00:00.000Z,2.13,45.84,6.17,3.91,9.24,10.172,427
2020-02-01T00:00:00.000Z,6.47,26.18,10.01,8.44,12.91,3.6,479
2020-02-02T00:00:00.000Z,0.4,13.59,4,3.12,7.32,2.741,491
2020-02-03T00:00:00.000Z,0.01,12.37,1.34,0.85,2.25,1.195,484
2020-02-04T00:00:00.000Z,0.26,41.43,1.97,1.29,3.07,3.635,390
2020-02-05T00:00:00.000Z,0.63,10.97,3.26,2.25,3.95,1.302,389
2020-02-06T00:00:00.000Z,0.16,20.43,1.57,1,2.35,2.231,355
2020-02-07T00:00:00.000Z,0.76,7.44,2.13,1.67,3.31,1.315,335
2020-02-08T00:00:00.000Z,1.94,6.95,3.72,2.81,5.23,1.339,396
2020-02-09T00:00:00.000Z,3.59,46.78,5.94,5.29,7.01,6.319,154
2020-02-10T00:00:00.000Z,5.73,22.62,11.58,8.11,14.52,3.736,558
2020-02-11T00:00:00.000Z,9.9,51.08,16.2,12.36,22.23,6.597,528
2020-02-12T00:00:00.000Z,6.29,60.73,21.14,16.82,29.46,14.376,561
2020-02-13T00:00:00.000Z,2.47,43.65,16.42,11.01,21.3,9.648,529
2020-02-14T00:00:00.000Z,2.31,25.14,6.28,3.48,12.35,6.312,504
2020-02-15T00:00:00.000Z,3.49,30.82,7.68,5.48,11.21,7.119,434
2020-02-16T00:00:00.000Z,6.24,19.55,10.44,8.5,13.43,3.28,512
2020-02-17T00:00:00.000Z,0.5,24.78,4.88,3.55,6.27,2.549,479
2020-02-18T00:00:00.000Z,0.63,103.55,3.42,2.71,37.4,29.036,433
2020-02-19T00:00:00.000Z,4.04,140.04,16.85,10.21,44.95,24.656,589
2020-02-20T00:00:00.000Z,3.61,38.54,7.63,5.94,16.59,9.338,649
2020-02-21T00:00:00.000Z,3.9,10.39,6.14,5.39,8.17,1.595,655
2020-02-22T00:00:00.000Z,4.22,16.28,6.94,5.94,8.26,2.612,646
2020-02-23T00:00:00.000Z,6.97,15.62,9.61,8.77,10.34,1.43,656
2020-02-24T00:00:00.000Z,5.71,26.55,9.67,7.74,18.97,5.941,691
2020-02-25T00:00:00.000Z,5.43,66.69,13.43,10.32,16.17,12.329,611
2020-02-26T00:00:00.000Z,7.4,55.99,11.97,9.68,19.41,10.732,515
2020-02-27T00:00:00.000Z,6.91,76.2,14.49,9.13,18.34,10.782,710
2020-02-28T00:00:00.000Z,8.86,130.22,12.44,10.79,32.51,29.277,719
2020-02-29T00:00:00.000Z,11.06,57,33.9,26.3,37.19,9.802,719
2020-03-01T00:00:00.000Z,5.01,43.94,20.23,13.41,29.13,9.67,722
2020-03-02T00:00:00.000Z,5.4,27.77,10.23,8.01,15.75,5.287,708
2020-03-03T00:00:00.000Z,3.35,57.91,11.79,7.39,18.09,12.543,722
2020-03-04T00:00:00.000Z,5.05,43.31,14.99,10.75,22.04,8.687,714
2020-03-05T00:00:00.000Z,5.97,191.24,19.52,9.11,38.18,28.822,720
2020-03-06T00:00:00.000Z,10.9,31.45,14.47,12.98,20.25,5.113,695
2020-03-07T00:00:00.000Z,3.68,45,8.84,7.3,10.23,5.656,719
2020-03-08T00:00:00.000Z,3.81,44.9,8.75,6.86,10.97,3.79,720
2020-03-09T00:00:00.000Z,1.33,34.61,8.76,6.13,12.09,6.667,713
2020-03-10T00:00:00.000Z,1.41,26.05,4.91,2.92,9.27,4.232,718
2020-03-11T00:00:00.000Z,0.24,16.94,4.26,2.71,5.46,2.656,716
2020-03-12T00:00:00.000Z,1.72,21.56,4.97,3.32,8.49,3.866,442
2020-03-13T00:00:00.000Z,2.91,12.2,5.46,4.25,7.11,2.087,219
2020-03-14T00:00:00.000Z,1.15,23.88,3.66,2.9,9.13,4.473,721
2020-03-15T00:00:00.000Z,0.93,79.95,5.59,4.68,6.64,9.728,717
2020-03-16T00:00:00.000Z,1.03,26.67,4.84,2.5,9.47,5.004,704
2020-03-17T00:00:00.000Z,3,31.74,6.21,5.31,9.59,3.812,719
2020-03-18T00:00:00.000Z,1.47,10.59,4.25,3,5.86,1.998,695
2020-03-19T00:00:00.000Z,3.63,16.22,5.08,4.61,8.93,2.643,127
