date, pm25, pm10, o3, no2, so2, co
2022/10/2, 33, 26, , , 1, 3
2022/10/3, 70, 15, , , 1, 1
2022/10/4, 42, 15, , , 1, 2
2022/10/5, 46, 19, , , 1, 3
2022/10/6, 57, 7, , , 1, 1
2022/10/7, 29, 15, , , 5, 5
2022/10/8, 57, 40, , , 1, 7
2022/10/9, 104, 19, , , 1, 2
2022/10/10, 57, 16, , , 1, 2
2022/10/11, 52, 19, , , 1, 3
2022/10/12, 66, 21, , , 6, 2
2022/10/13, 66, 28, , , 4, 3
2022/10/14, 84, 15, , , 2, 1
2022/10/15, 45, 10, , , 2, 1
2022/10/16, 36, 11, , , 2, 1
2022/10/17, 40, 15, , , 2, 2
2022/10/18, 35, 20, , , 2, 2
2022/10/19, 51, 12, , , 2, 1
2022/10/20, 40, 10, , , 1, 1
2022/10/21, 39, 12, , , 2, 1
2022/10/22, 42, 12, , , 1, 1
2022/10/23, 39, 9, , , 1, 1
2022/10/24, 34, 12, , , 2, 2
2022/10/25, 40, 11, , , 1, 2
2022/10/26, 38, 9, , , 1, 1
2022/10/27, 30, 14, , , 1, 2
2022/10/28, 40, 13, , , 1, 2
2022/10/29, 35, 10, , , 1, 2
2022/10/30, 31, 15, , , 1, 2
2022/10/31, 53, 11, , , 1, 1
2022/11/1, 35, 11, , , 1, 1
2022/11/2, 29, 13, , , 1, 3
2022/11/3, 28, 11, , , 2, 2
2022/11/4, 26, 14, , , 2, 2
2022/11/5, 37, 17, , , 2, 2
2022/11/6, 50, 11, , , 1, 1
2022/11/7, 35, 17, , , 2, 1
2022/11/8, 47, 15, , , 2, 1
2022/11/9, 25, 10, , , 6, 3
2022/11/10, 22, 9, , , 1, 5
2022/11/11, 32, 9, , , 2, 4
2022/11/12, 34, 8, , , 2, 4
2022/11/13, 30, 6, , , 5, 2
2022/11/14, 29, 10, , , 2, 1
2022/11/15, 33, 11, , , 2, 2
2022/11/16, 30, 10, , , 2, 2
2022/11/17, 29, 6, , , 2, 1
2022/11/18, 25, 9, , , 1, 1
2022/11/19, 21, 11, , , 1, 1
2022/11/20, 29, 11, , , 1, 1
2022/11/21, 31, 12, , , 2, 1
2022/11/22, 29, 11, , , 2, 1
2022/11/23, 22, 4, , , 1, 1
2022/11/24, 11, 11, , , 1, 1
2022/11/25, 28, 15, , , 2, 1
2022/11/26, 24, 18, , , 2, 1
2022/11/27, 16, 4, , , 1, 3
2022/11/28, 21, 3, , , 2, 2
2022/11/29, 24, 4, , , 1, 1
2022/11/30, 19, 4, , , 1, 1
2022/12/1, 22, 8, , , 1, 
2022/12/2, 18, 16, , , 1, 1
2022/12/3, 14, 11, , , 2, 1
2022/12/4, 9, 11, , , 2, 
2022/12/5, 30, 13, , , 2, 
2022/12/6, 11, 13, , , 2, 1
2022/12/7, 11, 14, , , 2, 
2022/12/8, 11, 16, , , 2, 1
2022/12/9, 11, 15, , , 4, 
2022/12/10, 15, 18, , , 2, 
2022/12/11, 14, 14, , , 2, 
2022/12/12, 9, 13, , , 2, 
2022/12/13, 11, 10, , , 2, 
2022/12/14, 6, 12, , , 2, 
2022/12/15, 9, 14, , , 2, 
2022/12/16, 7, 13, , , 1, 
2022/12/17, 5, , , , , 
2022/12/21, 7, 7, , , , 
2022/12/22, 7, 12, , , , 
2022/12/23, 11, 11, , , , 
2022/12/24, 10, 12, , , , 
2022/12/25, 10, 11, , , , 
2022/12/26, 7, 12, , , , 
2022/12/27, 17, , , , , 
2022/7/2, 87, 33, , , 2, 12
2022/7/3, 99, 24, , , 2, 12
2022/7/4, 73, 17, , , 2, 9
2022/7/5, 53, 21, , , 2, 8
2022/7/6, 59, 25, , , 2, 9
2022/7/7, 68, 20, , , 2, 9
2022/7/8, 66, 18, , , 2, 9
2022/7/9, 67, 27, , , 2, 10
2022/7/10, 77, 20, , , 2, 10
2022/7/11, 68, 21, , , 2, 11
2022/7/12, 77, 38, , , 2, 13
2022/7/13, 91, 48, , , 2, 19
2022/7/14, 125, 45, , , 2, 13
2022/7/15, 128, 65, , , 2, 17
2022/7/16, 147, 50, , , 3, 16
2022/7/17, 112, 46, , , 3, 14
2022/7/18, 94, 57, , , 3, 18
2022/7/19, 151, 21, , , 3, 10
2022/7/20, 76, 31, , , 3, 11
2022/7/21, 72, 50, , , 11, 15
2022/7/22, 143, 9, , , 1, 5
2022/7/23, 38, 19, , , , 5
2022/7/24, 52, 42, , , , 11
2022/7/25, 113, 31, , , , 9
2022/7/26, 107, 35, , , 1, 9
2022/7/27, 97, 51, , , , 12
2022/7/28, 138, 28, , , , 7
2022/7/29, 95, 33, , , , 7
2022/7/30, 105, 34, , , , 8
2022/7/31, 92, 84, , , , 18
2022/8/1, 183, 60, , , , 13
2022/8/2, 159, 55, , , , 12
2022/8/3, 143, 34, , , , 8
2022/8/4, 107, 50, , , , 9
2022/8/5, 128, 29, , , , 6
2022/8/6, 95, 28, , , , 6
2022/8/7, 94, 28, , , , 7
2022/8/8, 93, 55, , , , 12
2022/8/9, 142, 58, , , , 12
2022/8/10, 145, 52, , , , 12
2022/8/11, 134, 37, , , 1, 12
2022/8/12, 98, 20, , , 1, 6
2022/8/13, 62, 18, , , 1, 5
2022/8/14, 51, 30, , , , 6
2022/8/15, 82, 19, , , , 6
2022/8/16, 58, 22, , , , 7
2022/8/17, 75, 63, , , , 14
2022/8/18, 137, 58, , , , 12
2022/8/19, 146, 48, , , 1, 9
2022/8/20, 126, 40, , , 1, 10
2022/8/21, 116, 14, , , 1, 4
2022/8/22, 54, 52, , , 2, 12
2022/8/23, 131, 24, , , 1, 6
