date, pm25
2023/11/2, 57
2023/11/3, 41
2023/11/4, 30
2023/11/5, 49
2023/11/6, 41
2023/11/7, 51
2023/11/8, 48
2023/11/9, 30
2023/11/10, 26
2023/11/11, 50
2023/11/12, 41
2023/11/13, 50
2023/11/14, 35
2023/11/15, 42
2023/11/16, 34
2023/10/2, 32
2023/10/3, 49
2023/10/4, 40
2023/10/5, 39
2023/10/6, 21
2023/10/7, 28
2023/10/8, 28
2023/10/9, 29
2023/10/10, 45
2023/10/11, 38
2023/10/12, 25
2023/10/13, 22
2023/10/14, 34
2023/10/15, 16
2023/10/16, 15
2023/10/17, 14
2023/10/18, 35
2023/10/19, 48
2023/10/20, 17
2023/10/21, 16
2023/10/22, 28
2023/10/23, 41
2023/10/24, 42
2023/7/2, 69
2023/7/3, 79
2023/7/4, 54
2023/7/5, 74
2023/7/6, 101
2023/7/7, 132
2023/7/8, 106
2023/7/9, 93
2023/7/10, 88
2023/7/11, 108
2023/7/12, 84
2023/7/13, 105
2023/7/14, 109
2023/7/15, 99
2023/7/16, 118
2023/7/17, 120
2023/7/18, 109
2023/7/19, 85
2023/7/20, 116
2023/7/21, 105
2023/7/22, 72
2023/7/23, 85
2023/7/24, 108
2023/7/25, 82
2023/7/26, 90
2023/7/27, 142
2023/7/28, 86
2023/7/29, 120
2023/7/30, 49
2023/7/31, 78
2023/8/1, 84
2023/8/2, 40
2023/8/3, 45
2023/8/4, 46
2023/8/5, 38
2023/8/6, 37
2023/8/7, 74
2023/8/8, 87
2023/8/9, 98
2023/8/10, 99
2023/8/11, 54
2023/8/12, 105
2023/8/13, 105
2023/8/14, 75
2023/8/15, 86
2023/8/16, 30
2023/8/17, 52
2023/8/18, 62
2023/8/19, 87
2023/8/20, 69
2023/8/21, 73
2023/8/22, 77
2023/8/23, 90
2023/8/24, 66
2023/8/25, 78
2023/8/26, 83
2023/8/27, 100
2023/8/28, 76
2023/8/29, 55
2023/8/30, 75
2023/8/31, 56
2023/9/1, 67
2023/9/2, 64
2023/9/3, 84
2023/9/4, 85
2023/9/5, 101
2023/9/6, 74
2023/9/7, 55
2023/9/8, 56
2023/9/9, 75
2023/9/10, 68
2023/9/11, 55
2023/9/12, 65
2023/9/13, 75
2023/9/14, 54
2023/9/15, 54
2023/9/16, 55
2023/9/17, 38
2023/9/18, 37
2023/9/19, 87
2023/9/20, 59
2023/9/21, 63
2023/9/22, 80
2023/9/23, 65
2023/9/24, 51
2023/9/25, 55
2023/9/26, 28
2023/9/27, 45
2023/9/28, 66
2023/9/29, 35
2023/9/30, 64
2023/10/1, 39
2023/4/2, 46
2023/4/3, 89
2023/4/4, 87
2023/4/5, 55
2023/4/6, 36
2023/4/7, 46
2023/4/8, 62
2023/4/9, 86
2023/4/10, 53
2023/4/11, 70
2023/4/12, 67
2023/4/13, 63
2023/4/14, 76
2023/4/15, 95
2023/4/16, 74
2023/4/17, 36
2023/4/18, 42
2023/4/19, 26
2023/4/20, 24
2023/4/21, 20
2023/4/22, 33
2023/4/23, 81
2023/4/24, 68
2023/4/25, 76
2023/4/26, 24
2023/4/27, 23
2023/4/28, 73
2023/4/29, 84
2023/4/30, 69
2023/5/1, 52
2023/5/2, 76
2023/5/3, 37
2023/5/4, 119
2023/5/5, 55
2023/5/6, 31
2023/5/7, 49
2023/5/8, 60
2023/5/9, 99
2023/5/10, 103
2023/5/11, 80
2023/5/12, 43
2023/5/13, 64
2023/5/14, 70
2023/5/15, 71
2023/5/16, 72
2023/5/17, 45
2023/5/18, 52
2023/5/19, 74
2023/5/20, 80
2023/5/21, 84
2023/5/22, 108
2023/5/23, 94
2023/5/24, 73
2023/5/25, 66
2023/5/26, 77
2023/5/27, 82
2023/5/28, 85
2023/5/29, 143
2023/5/30, 128
2023/5/31, 94
2023/6/1, 102
2023/6/2, 110
2023/6/3, 52
2023/6/4, 62
2023/6/5, 79
2023/6/6, 84
2023/6/7, 56
2023/6/8, 88
2023/6/9, 49
2023/6/10, 83
2023/6/11, 67
2023/6/12, 37
2023/6/13, 81
2023/6/14, 113
2023/6/15, 78
2023/6/16, 117
2023/6/17, 106
2023/6/18, 84
2023/6/19, 168
2023/6/20, 91
2023/6/21, 103
2023/6/22, 86
2023/6/23, 118
2023/6/24, 106
2023/6/25, 106
2023/6/26, 89
2023/6/27, 79
2023/6/28, 85
2023/6/29, 126
2023/6/30, 109
2023/7/1, 103
2023/1/3, 19
2023/1/4, 14
2023/1/5, 11
2023/1/6, 19
2023/1/7, 9
2023/1/8, 21
2023/1/9, 20
2023/1/10, 12
2023/1/11, 29
2023/1/12, 14
2023/1/13, 17
2023/1/14, 13
2023/1/15, 17
2023/1/16, 15
2023/1/17, 17
2023/1/18, 21
2023/1/19, 19
2023/1/20, 28
2023/1/21, 16
2023/1/22, 11
2023/1/23, 13
2023/1/24, 29
2023/1/25, 30
2023/1/26, 35
2023/1/27, 25
2023/1/28, 22
2023/1/29, 17
2023/1/30, 11
2023/1/31, 11
2023/2/1, 23
2023/2/2, 19
2023/2/3, 12
2023/2/4, 20
2023/2/5, 19
2023/2/6, 16
2023/2/7, 19
2023/2/8, 10
2023/2/9, 11
2023/2/10, 19
2023/2/11, 29
2023/2/12, 31
2023/2/13, 22
2023/2/14, 37
2023/2/15, 38
2023/2/16, 17
2023/2/17, 30
2023/2/18, 24
2023/2/19, 14
2023/2/20, 15
2023/2/21, 18
2023/2/22, 14
2023/2/23, 21
2023/2/24, 12
2023/2/25, 26
2023/2/26, 23
2023/2/27, 36
2023/2/28, 16
2023/3/1, 17
2023/3/2, 17
2023/3/3, 26
2023/3/4, 23
2023/3/5, 34
2023/3/6, 30
2023/3/7, 41
2023/3/8, 42
2023/3/9, 55
2023/3/10, 40
2023/3/11, 57
2023/3/12, 57
2023/3/13, 25
2023/3/14, 56
2023/3/15, 38
2023/3/16, 92
2023/3/17, 76
2023/3/18, 56
2023/3/19, 46
2023/3/20, 21
2023/3/21, 41
2023/3/22, 50
2023/3/23, 26
2023/3/24, 24
2023/3/25, 39
2023/3/26, 44
2023/3/27, 37
2023/3/28, 48
2023/3/29, 62
2023/3/30, 73
2023/3/31, 74
2023/4/1, 79
2022/10/2, 78
2022/10/3, 52
2022/10/4, 61
2022/10/5, 63
2022/10/6, 51
2022/10/7, 49
2022/10/8, 43
2022/10/9, 49
2022/10/10, 39
2022/10/11, 41
2022/10/12, 60
2022/10/13, 42
2022/10/14, 61
2022/10/15, 50
2022/10/16, 44
2022/10/17, 51
2022/10/18, 49
2022/10/19, 55
2022/10/20, 37
2022/10/21, 39
2022/10/22, 61
2022/10/23, 36
2022/10/24, 73
2022/10/25, 66
2022/10/26, 66
2022/10/27, 43
2022/10/28, 63
2022/10/29, 26
2022/10/30, 25
2022/10/31, 20
2022/11/1, 29
2022/11/2, 29
2022/11/3, 26
2022/11/4, 48
2022/11/5, 49
2022/11/6, 28
2022/11/7, 25
2022/11/8, 34
2022/11/9, 20
2022/11/10, 13
2022/11/11, 18
2022/11/12, 22
2022/11/13, 21
2022/11/14, 21
2022/11/15, 28
2022/11/16, 28
2022/11/17, 32
2022/11/18, 34
2022/11/19, 26
2022/11/20, 36
2022/11/21, 41
2022/11/22, 41
2022/11/23, 19
2022/11/24, 37
2022/11/25, 30
2022/11/26, 23
2022/11/27, 23
2022/11/28, 32
2022/11/29, 27
2022/11/30, 16
2022/12/1, 14
2022/12/2, 17
2022/12/3, 33
2022/12/4, 35
2022/12/5, 38
2022/12/6, 36
2022/12/7, 34
2022/12/8, 48
2022/12/9, 38
2022/12/10, 57
2022/12/11, 58
2022/12/12, 46
2022/12/13, 22
2022/12/14, 21
2022/12/15, 19
2022/12/16, 15
2022/12/17, 17
2022/12/18, 18
2022/12/19, 22
2022/12/20, 28
2022/12/21, 39
2022/12/22, 26
2022/12/23, 32
2022/12/24, 25
2022/12/25, 20
2022/12/26, 10
2022/12/27, 13
2022/12/28, 16
2022/12/29, 19
2022/12/30, 17
2022/12/31, 30
2023/1/1, 30
2023/1/2, 36
2022/7/2, 113
2022/7/3, 112
2022/7/4, 111
2022/7/5, 96
2022/7/6, 110
2022/7/7, 102
2022/7/8, 114
2022/7/9, 108
2022/7/10, 99
2022/7/11, 57
2022/7/12, 99
2022/7/13, 125
2022/7/14, 108
2022/7/15, 128
2022/7/16, 112
2022/7/17, 123
2022/7/18, 121
2022/7/19, 95
2022/7/20, 74
2022/7/21, 71
2022/7/22, 136
2022/7/23, 101
2022/7/24, 77
2022/7/25, 63
2022/7/26, 89
2022/7/27, 67
2022/7/28, 98
2022/7/29, 54
2022/7/30, 83
2022/7/31, 105
2022/8/1, 146
2022/8/2, 157
2022/8/3, 147
2022/8/4, 105
2022/8/5, 91
2022/8/6, 108
2022/8/7, 71
2022/8/8, 74
2022/8/9, 81
2022/8/10, 136
2022/8/11, 133
2022/8/12, 83
2022/8/13, 83
2022/8/14, 93
2022/8/15, 71
2022/8/16, 97
2022/8/17, 74
2022/8/18, 64
2022/8/19, 94
2022/8/20, 78
2022/8/21, 82
2022/8/22, 74
2022/8/23, 103
2022/8/24, 68
2022/8/25, 95
2022/8/26, 86
2022/8/27, 49
2022/8/28, 61
2022/8/29, 113
2022/8/30, 112
2022/8/31, 92
2022/9/1, 87
2022/9/2, 76
2022/9/3, 112
2022/9/4, 53
2022/9/5, 59
2022/9/6, 44
2022/9/7, 80
2022/9/8, 71
2022/9/9, 85
2022/9/10, 65
2022/9/11, 41
2022/9/12, 40
2022/9/13, 79
2022/9/14, 104
2022/9/15, 86
